"start","end","label"
364.67,367.63,"human"
2572.44,2573.44,"mech_traffic_RECLASSIFY"
2598.59,2599.59,"mech_traffic_RECLASSIFY"
3242.41,3243.41,"human"
3244.27,3245.27,"human"
3247.17,3248.8,"human"
3291.15,3292.15,"human"
3559.15,3560.15,"human"
3646.39,3649.39,"mech_plane_prop"
3735.9,3736.93,"mech_traffic_RECLASSIFY"
4181.61,4182.61,"human"
4289.07,4290.07,"human"
4404.96,4405.96,"human"
4485.56,4486.56,"human"
5456.05,5459.05,"ambient_day"
5739.69,5740.69,"mech_traffic_RECLASSIFY"
5876.35,5877.35,"ins_buzz_bee"
7177.92,7178.92,"human"
7750.92,7753.92,"mech_plane_prop"
8003.6,8004.6,"mech_traffic_RECLASSIFY"
8005.4,8006.4,"mech_traffic_RECLASSIFY"
8010.83,8011.83,"mech_traffic_RECLASSIFY"
8012.65,8013.65,"mech_traffic_RECLASSIFY"
8014.92,8015.92,"mech_traffic_RECLASSIFY"
8019.28,8020.28,"mech_traffic_RECLASSIFY"
8086.4,8087.4,"ins_buzz_bee"
8101.48,8104.77,"ins_buzz_bee"
8107.79,8108.79,"ins_buzz_RECLASSIFY"
8146.51,8147.51,"ambient_scraping"
8325.85,8326.85,"mech_traffic_RECLASSIFY"
8741.53,8742.53,"mech_traffic_RECLASSIFY"
8747.98,8748.98,"mech_traffic_RECLASSIFY"
8753.92,8755.01,"mech_traffic_RECLASSIFY"
8755.8,8756.8,"mech_traffic_RECLASSIFY"
8760.48,8761.48,"mech_traffic_RECLASSIFY"
8840.32,8841.32,"mech_traffic_RECLASSIFY"
8844.42,8845.92,"mech_traffic_RECLASSIFY"
8846.84,8847.84,"mech_traffic_RECLASSIFY"
8987.87,8988.87,"mech_traffic_RECLASSIFY"
12067.08,12068.08,"ins_buzz_bee"
12135.69,12136.69,"ins_buzz_bee"
12298.88,12301.88,"ambient_day"
12978.33,12979.33,"mech_traffic_RECLASSIFY"
12985.28,12986.28,"mech_traffic_RECLASSIFY"
12994.83,12995.83,"mech_traffic_RECLASSIFY"
13001.87,13002.87,"mech_traffic_RECLASSIFY"
13003.6,13004.6,"mech_traffic_RECLASSIFY"
13005.21,13006.21,"mech_traffic_RECLASSIFY"
13211.58,13212.58,"mech_traffic_RECLASSIFY"
13217.56,13218.56,"mech_traffic_RECLASSIFY"
