"start","end","label"
428.68,429.68,"ins_buzz_bee"
751.67,752.67,"ambient_scraping"
1491.98,1492.98,"mech_traffic_RECLASSIFY"
1497.18,1498.33,"mech_traffic_RECLASSIFY"
1505.13,1506.13,"mech_traffic_RECLASSIFY"
3314.23,3317.23,"ambient_day"
3903.45,3904.45,"mech_traffic_RECLASSIFY"
3911.45,3912.45,"mech_traffic_RECLASSIFY"
3913.29,3914.29,"mech_traffic_RECLASSIFY"
5878.86,5879.86,"mech_traffic_RECLASSIFY"
6605.95,6607.04,"mech_traffic_RECLASSIFY"
6606.58,6609.58,"mech_plane_prop"
6614.25,6615.25,"mech_traffic_RECLASSIFY"
6625.32,6626.32,"mech_traffic_RECLASSIFY"
6630.3,6631.3,"mech_traffic_RECLASSIFY"
6779.19,6780.19,"ins_buzz_bee"
7335.95,7336.95,"ambient_scraping"
7419.51,7422.51,"ambient_day"
7505.42,7506.42,"ins_buzz_bee"
8053.56,8054.56,"mech_traffic_RECLASSIFY"
8056.25,8057.25,"mech_traffic_RECLASSIFY"
8059.69,8060.69,"mech_traffic_RECLASSIFY"
8063.05,8064.05,"mech_traffic_RECLASSIFY"
8065.07,8066.07,"mech_traffic_RECLASSIFY"
8067.52,8068.54,"mech_traffic_RECLASSIFY"
8070.35,8071.35,"mech_traffic_RECLASSIFY"
8073.43,8074.43,"mech_traffic_RECLASSIFY"
8075.23,8076.23,"mech_traffic_RECLASSIFY"
8078.47,8079.47,"mech_traffic_RECLASSIFY"
8081.15,8082.15,"mech_traffic_RECLASSIFY"
9092.13,9093.31,"mech_traffic_RECLASSIFY"
9110.26,9113.26,"mech_RECLASSIFY"
9174.06,9175.06,"mech_traffic_RECLASSIFY"
9176.61,9177.6,"mech_traffic_RECLASSIFY"
9181.18,9182.18,"mech_traffic_RECLASSIFY"
9195.27,9196.27,"mech_traffic_RECLASSIFY"
9214.57,9215.57,"mech_traffic_RECLASSIFY"
9217.9,9218.9,"mech_traffic_RECLASSIFY"
9287.05,9288.05,"ins_buzz_bee"
10406.12,10407.12,"ambient_scraping"
10471.51,10472.51,"mech_traffic_RECLASSIFY"
10473.48,10474.48,"mech_traffic_RECLASSIFY"
10476.16,10477.31,"mech_traffic_RECLASSIFY"
10478.38,10479.38,"mech_traffic_RECLASSIFY"
10480.46,10481.46,"mech_traffic_RECLASSIFY"
10482.37,10483.81,"mech_traffic_RECLASSIFY"
10485.08,10486.08,"mech_traffic_RECLASSIFY"
10487.13,10488.16,"mech_traffic_RECLASSIFY"
10489.13,10490.13,"mech_traffic_RECLASSIFY"
10490.25,10491.25,"mech_traffic_RECLASSIFY"
10492.45,10493.47,"mech_traffic_RECLASSIFY"
10495.16,10496.16,"mech_traffic_RECLASSIFY"
10497.03,10498.03,"mech_traffic_RECLASSIFY"
10500.67,10501.67,"mech_traffic_RECLASSIFY"
10717,10718,"ambient_scraping"
11120.75,11121.75,"ins_buzz_high"
11185.5,11186.49,"ins_buzz_bee"
11372.7,11373.7,"ins_buzz_bee"
11375.48,11376.48,"ins_buzz_bee"
11561.91,11562.91,"mech_traffic_RECLASSIFY"
