"start","end","label"
10310.88,10317.87,"mech_auto_car"
10332.37,10335.68,"ambient_scraping"
10359.37,10361.11,"ins_buzz_bee"
10364.1,10365.52,"ins_buzz_bee"
10367.34,10369.39,"ins_buzz_bee"
10370.54,10375.59,"ins_buzz_bee"
10377.78,10385.83,"ins_buzz_bee"
10424.67,10426.58,"ins_buzz_bee"
10429.31,10430.27,"ins_buzz_bee"
10441.2,10441.97,"ins_buzz_bee"
10494.7,10495.71,"ins_buzz_bee"
10529.2,10536.67,"mech_auto_car"
10534.83,10535.62,"ins_buzz_bee"
10576.47,10577.6,"ins_buzz_high"
10577.89,10582.12,"ins_buzz_high"
