"start","end","label"
21497.6,21502.14,"mech_auto_car"
21504.42,21507.78,"mech_auto_car"
21509.48,21523.44,"mech_auto_truck"
24877.72,24887.56,"ambient_night"
24889.53,24890.91,"ambient_scraping"
24892.4,24902.24,"ambient_night"
31827,31829.88,"mech_hum_auto"
31827,31829.88,"ins_trill"
31827,31829.88,"ambient_night"
31847.92,31850.44,"mech_auto_car"
31852.55,31854.51,"mech_auto_car"
31857.94,31863.47,"mech_auto_car"
32055.78,32058.63,"mech_auto_car"
32063.13,32068.77,"mech_hum_traffic"
32337,32341.8,"ambient_night"
33714,33720.72,"ambient_night"
33714,33720.72,"mech_plane_jet"
88850.58,88851.97,"ins_buzz_bee"
88850.58,88874.98,"mech_plane_prop"
88853.53,88869.18,"ins_buzz_bee"
88864.42,88865.85,"ins_buzz_low"
88870.53,88893.09,"ins_buzz_bee"
88896.43,88904.63,"ins_buzz_bee"
88907.72,88908.85,"ins_buzz_bee"
88913.2,88917.05,"ins_buzz_bee"
88922.86,88926.39,"ins_buzz_bee"
88929.12,88931.74,"ins_buzz_bee"
88932.93,88947.57,"ins_buzz_bee"
88978.8,88982.17,"ins_buzz_bee"
89031.06,89035.41,"ins_buzz_bee"
89040.39,89051.9,"ins_buzz_bee"
89055.29,89065.47,"ins_buzz_bee"
89079.55,89082.05,"ins_buzz_bee"
89083.66,89086.21,"ins_buzz_bee"
89092.31,89096.2,"ins_buzz_bee"
89101.88,89104.95,"ins_buzz_bee"
89105.88,89108.64,"ins_buzz_bee"
89115.35,89119.11,"ins_buzz_bee"
89125.66,89128.55,"ins_buzz_bee"
89130.78,89150.21,"ins_buzz_bee"
107823.84,107827.8,"mech_hum_traffic"
107834,107838.32,"mech_hum_traffic"
110659,110664.76,"mech_plane_jet"
110659,110664.76,"ambient_night"
110732,110737.28,"ambient_night"
110732,110737.28,"ins_trill"
111895,111899.32,"ambient_night"
111895,111899.32,"ins_trill"
112568,112570.4,"ambient_night"
112568,112570.4,"ins_trill"
112636,112642.72,"ambient_night"
112636,112642.72,"ins_trill"
112649,112652.36,"ambient_night"
112649,112652.36,"ins_trill"
112840,112845.76,"ambient_night"
112840,112845.76,"ins_trill"
112861,112865.8,"ambient_night"
112861,112865.8,"ins_trill"
112888,112893.76,"ambient_night"
112888,112893.76,"ins_trill"
112900,112903.84,"ambient_night"
112900,112903.84,"ins_trill"
112952,112957.28,"ambient_night"
112952,112957.28,"ins_trill"
112971,112975.8,"ambient_night"
112971,112975.8,"ins_trill"
113873,113876.36,"ambient_night"
113873,113876.36,"ins_trill"
113900,113903.36,"ambient_night"
113900,113903.36,"ins_trill"
113922,113926.32,"ambient_night"
113922,113926.32,"ins_trill"
113949,113955.24,"ins_trill"
113949,113955.24,"ambient_night"
114134,114137.36,"ambient_night"
114134,114137.36,"ins_trill"
114356,114361.28,"ambient_night"
114356,114361.28,"ins_trill"
114637,114641.32,"ambient_night"
114637,114641.32,"ins_trill"
114649,114654.76,"ambient_night"
114649,114654.76,"ins_trill"
114679,114688.6,"ambient_night"
115805,115814.6,"ambient_night"
115871,115875.32,"ambient_night"
116096,116100.8,"ambient_night"
116096,116100.8,"ins_trill"
119372,119374.88,"ambient_night"
131968.05,131970.22,"mech_auto_car"
131972.24,131974.88,"mech_auto_car"
150767.45,150814.2,"mech_hum_RECLASSIFY"
150842.13,150843.32,"ins_buzz_bee"
150962.45,151053.17,"mech_plane_jet"
