"start","end","label"
16073.91,16092.36,"mech_auto_car"
30748.02,30764.03,"mech_hum_traffic"
34331.24,34356.2,"mech_hum_traffic"
37750.74,37761.21,"mech_hum_traffic"
71143.48,71145.53,"ambient_bang"
71210.87,71213.06,"ambient_bang"
71219.98,71221.16,"ins_buzz_low"
71333.46,71333.95,"ambient_bang"
71334.76,71335.28,"ambient_bang"
71335.99,71336.5,"ambient_bang"
71337.64,71337.96,"ambient_bang"
71338.62,71339.01,"ambient_bang"
71339.29,71339.7,"ambient_bang"
71342.12,71342.53,"ambient_bang"
75085.66,75086.84,"ins_buzz_bee"
75088.4,75089.2,"ambient_bang"
75091.77,75092.31,"ambient_bang"
75093.1,75093.83,"ambient_bang"
75096.72,75097.65,"ambient_bang"
75097.65,75100.26,"ins_buzz_low"
75171.5,75232.51,"mech_plane_jet"
75240.13,75242.74,"ins_buzz_bee"
75247.16,75248.77,"ins_buzz_bee"
75255.27,75328.01,"mech_plane_prop"
75259.61,75260.55,"ins_buzz_bee"
75261.02,75262.41,"ins_buzz_bee"
75335.48,75338.07,"ins_buzz_bee"
75346.47,75352.21,"ins_buzz_bee"
82356.8,82357.15,"ambient_bang"
82358.18,82358.56,"ambient_bang"
82360.03,82360.32,"ambient_bang"
82361.17,82361.64,"ambient_bang"
82363.25,82363.78,"ambient_bang"
82365,82365.35,"ambient_bang"
82368.67,82369.19,"ambient_bang"
82370.63,82371.02,"ambient_bang"
82372.54,82372.96,"ambient_bang"
82375.01,82375.42,"ambient_bang"
82376.36,82376.72,"ambient_bang"
82377.95,82378.38,"ambient_bang"
82379.29,82379.62,"ambient_bang"
82380.97,82381.3,"ambient_bang"
82382.26,82382.65,"ambient_bang"
82438.25,82438.67,"ambient_bang"
82440.16,82440.67,"ambient_bang"
82442.63,82443.05,"ambient_bang"
82444.34,82444.9,"ambient_bang"
82445.72,82446.24,"ambient_bang"
82447.16,82447.65,"ambient_bang"
82448.69,82449.13,"ambient_bang"
82450.29,82450.74,"ambient_bang"
82451.79,82452.35,"ambient_bang"
82452.98,82453.47,"ambient_bang"
82458.68,82459.04,"ambient_bang"
82459.96,82460.36,"ins_buzz_bee"
82461.87,82462.22,"ins_buzz_bee"
82466.48,82467.19,"ins_buzz_bee"
82471.57,82471.87,"ambient_bang"
82472.81,82473.13,"ambient_bang"
82473.77,82474.1,"ambient_bang"
82474.57,82474.88,"ambient_bang"
82475.7,82475.99,"ambient_bang"
82477.34,82477.77,"ambient_bang"
82478.51,82478.92,"ambient_bang"
82480.39,82480.71,"ambient_bang"
82482.11,82482.49,"ambient_bang"
82483.43,82483.87,"ambient_bang"
82484.67,82485.13,"ambient_bang"
82485.9,82486.3,"ambient_bang"
82487.15,82487.48,"ambient_bang"
82488.54,82488.79,"ambient_bang"
82489.54,82490,"ambient_bang"
82491.86,82492.2,"ambient_bang"
82503.21,82503.52,"ambient_bang"
82640.09,82642.56,"ins_buzz_bee"
89237.52,89238.48,"ins_buzz_bee"
89408.59,89408.88,"ambient_bang"
89409.41,89410.67,"ambient_bang"
89433.51,89436.15,"ambient_bang"
89438.35,89500.31,"mech_plane_jet"
89456.56,89458.27,"ambient_bang"
89459.76,89461.56,"ambient_bang"
89481.65,89483.83,"ambient_bang"
98402.53,98418.25,"mech_hum_traffic"
106537.02,106548.55,"mech_plane_prop"
