"start","end","label"
1.5,2.53,"human"
4.61,7.04,"human"
8.64,9.64,"human"
11.14,12.13,"human"
13.08,14.08,"human"
14.6,15.6,"human"
16.24,17.24,"human"
17.82,18.82,"human"
21.44,23.07,"human"
26.56,28.58,"human"
40.2,41.2,"human"
426.6,427.6,"mech_traffic_RECLASSIFY"
503.84,505.06,"mech_traffic_RECLASSIFY"
525.86,527.04,"mech_traffic_RECLASSIFY"
661.44,662.46,"mech_traffic_RECLASSIFY"
664.27,665.27,"mech_traffic_RECLASSIFY"
3447.37,3448.37,"mech_traffic_RECLASSIFY"
3452.84,3453.84,"mech_traffic_RECLASSIFY"
3453.98,3454.98,"mech_traffic_RECLASSIFY"
3456.8,3457.8,"mech_traffic_RECLASSIFY"
3460.22,3461.41,"mech_traffic_RECLASSIFY"
3462.44,3463.44,"mech_traffic_RECLASSIFY"
3463.48,3464.48,"mech_traffic_RECLASSIFY"
3466.4,3467.39,"mech_traffic_RECLASSIFY"
3468.93,3469.98,"mech_traffic_RECLASSIFY"
3471.9,3473.09,"mech_traffic_RECLASSIFY"
3476.1,3477.31,"mech_traffic_RECLASSIFY"
3479.32,3480.32,"mech_traffic_RECLASSIFY"
3480.99,3482.08,"mech_traffic_RECLASSIFY"
3482.17,3483.17,"mech_traffic_RECLASSIFY"
3483.55,3484.55,"mech_traffic_RECLASSIFY"
3485.44,3486.5,"mech_traffic_RECLASSIFY"
3487.48,3488.48,"mech_traffic_RECLASSIFY"
3489.41,3490.5,"mech_traffic_RECLASSIFY"
3491.07,3492.06,"mech_traffic_RECLASSIFY"
3492.89,3493.89,"mech_traffic_RECLASSIFY"
3495.36,3496.36,"mech_traffic_RECLASSIFY"
3496.51,3497.51,"mech_traffic_RECLASSIFY"
3498.17,3499.17,"mech_traffic_RECLASSIFY"
3658.25,3659.25,"mech_traffic_RECLASSIFY"
3666,3667,"mech_traffic_RECLASSIFY"
3667.84,3668.84,"mech_traffic_RECLASSIFY"
3670.41,3671.41,"mech_traffic_RECLASSIFY"
3675.84,3676.84,"mech_traffic_RECLASSIFY"
3688.2,3689.2,"mech_traffic_RECLASSIFY"
3691.24,3692.24,"mech_traffic_RECLASSIFY"
3696.09,3697.09,"mech_traffic_RECLASSIFY"
4287.02,4288.02,"mech_traffic_RECLASSIFY"
4291.72,4292.72,"mech_traffic_RECLASSIFY"
