"start","end","label"
3.74,4.74,"human"
5.86,6.91,"human"
11.16,12.16,"human"
36.09,37.09,"human"
289.08,290.08,"mech_traffic_RECLASSIFY"
291.05,292.05,"mech_traffic_RECLASSIFY"
606.06,607.06,"mech_traffic_RECLASSIFY"
621.74,622.74,"mech_traffic_RECLASSIFY"
5584.91,5585.91,"mech_traffic_RECLASSIFY"
5586.7,5587.7,"mech_traffic_RECLASSIFY"
5588.72,5589.72,"mech_traffic_RECLASSIFY"
5592.06,5593.06,"mech_traffic_RECLASSIFY"
5603.5,5604.5,"mech_traffic_RECLASSIFY"
5605.53,5606.53,"mech_traffic_RECLASSIFY"
5611.66,5612.66,"mech_traffic_RECLASSIFY"
5737.39,5738.39,"mech_traffic_RECLASSIFY"
5760.88,5761.88,"mech_traffic_RECLASSIFY"
6443.66,6444.66,"mech_traffic_RECLASSIFY"
6449.24,6450.24,"mech_traffic_RECLASSIFY"
6453.07,6454.07,"mech_traffic_RECLASSIFY"
10892.62,10893.62,"mech_traffic_RECLASSIFY"
10896.22,10897.31,"mech_traffic_RECLASSIFY"
10898.92,10899.92,"mech_traffic_RECLASSIFY"
10905.34,10906.34,"mech_traffic_RECLASSIFY"
10907.56,10908.56,"mech_traffic_RECLASSIFY"
10912.97,10913.97,"mech_traffic_RECLASSIFY"
10917.95,10918.95,"mech_traffic_RECLASSIFY"
10923.08,10924.08,"mech_traffic_RECLASSIFY"
10925.96,10926.96,"mech_traffic_RECLASSIFY"
10928.52,10929.52,"mech_traffic_RECLASSIFY"
10950.11,10951.11,"mech_traffic_RECLASSIFY"
14112.46,14122.31,"mech_auto_truck"
14138.34,14146.96,"ambient_day"
14151.55,14160.38,"ambient_day"
14177.58,14179.82,"ins_buzz_low"
14181.59,14182.28,"ins_buzz_high"
14190.88,14196.5,"ambient_day"
14198.02,14198.24,"ins_buzz_high"
14207.98,14212.63,"ins_buzz_low"
14215.45,14218.4,"ins_buzz_low"
14223.05,14223.59,"ins_buzz_low"
14270.54,14271.07,"ins_buzz_bee"
14285.28,14286.41,"ins_buzz_high"
14291.66,14292.56,"ins_buzz_high"
14296.39,14297.68,"ins_buzz_low"
14296.83,14300.39,"ins_buzz_high"
14308.11,14315.99,"ambient_day"
14318.57,14320.31,"ins_buzz_bee"
14345.99,14349.05,"ambient_rustle"
14348.11,14348.6,"ambient_scraping"
14351.14,14355.42,"ambient_scraping"
14359.59,14363.26,"ambient_scraping"
14375.92,14376.33,"ins_buzz_bee"
14381.01,14381.42,"ins_buzz_bee"
14408.21,14409.34,"ins_buzz_high"
15918.09,15919.09,"ins_buzz_bee"
16490.52,16493.52,"ambient_day"
17064.94,17065.94,"ins_buzz_high"
17474.56,17475.56,"mech_traffic_RECLASSIFY"
17477.4,17478.4,"mech_traffic_RECLASSIFY"
20126.02,20129.02,"ambient_day"
21791.82,21792.82,"ins_buzz_bee"
21929.36,21930.36,"mech_traffic_RECLASSIFY"
21938.64,21939.64,"mech_traffic_RECLASSIFY"
21947.74,21948.74,"mech_traffic_RECLASSIFY"
23188.92,23189.92,"ins_buzz_high"
23434.58,23437.58,"ambient_day"
23682.35,23683.35,"RECLASSIFY"
23903.7,23906.7,"ambient_day"
24127.02,24128.02,"ins_buzz_high"
24470.79,24473.79,"ambient_day"
24816.7,24817.73,"ins_buzz_low"
25219.64,25222.64,"ambient_day"
25396.64,25397.64,"ins_buzz_bee"
25413.6,25414.6,"ins_buzz_low"
25561.24,25562.5,"ins_buzz_low"
25561.24,25692.33,"mech_plane_prop"
25563.62,25564.65,"ins_buzz_bee"
25565.84,25567.06,"ins_buzz_bee"
25568.38,25569.37,"ins_buzz_bee"
25571.12,25571.7,"ins_buzz_bee"
25573.48,25576.21,"ins_buzz_bee"
25578.7,25579.46,"ins_buzz_bee"
25581.65,25586.19,"ins_buzz_bee"
25587.29,25588.55,"ins_buzz_bee"
25589.81,25590.36,"ins_buzz_bee"
25593.11,25593.5,"ins_buzz_bee"
25595.21,25596.07,"ins_buzz_bee"
25597.59,25598.3,"ins_buzz_bee"
25601.17,25601.76,"ins_buzz_bee"
25602.23,25602.72,"ins_buzz_bee"
25604.78,25606.46,"ins_buzz_bee"
25609.76,25610.21,"ins_buzz_bee"
25611.15,25612.31,"ins_buzz_bee"
25613.57,25615.36,"ins_buzz_low"
25618.84,25621.36,"ins_buzz_bee"
25623.28,25631.34,"ins_buzz_bee"
25624.46,25625.46,"ins_buzz_bee"
25631.99,25634.67,"ins_buzz_bee"
25635.07,25635.79,"ins_buzz_high"
25635.86,25637.56,"ins_buzz_bee"
25639.1,25641.97,"ins_buzz_bee"
25644.81,25646.39,"ins_buzz_bee"
25646.02,25646.9,"ins_buzz_low"
25647.74,25651.14,"ins_buzz_low"
25647.92,25648.82,"ins_buzz_bee"
25649.66,25654.71,"ins_buzz_bee"
25655.3,25655.7,"ins_buzz_bee"
25656.99,25657.47,"ins_buzz_bee"
25659.06,25659.53,"ins_buzz_bee"
25660.93,25661.52,"ins_buzz_bee"
25663.02,25663.56,"ins_buzz_bee"
25665.15,25667.04,"ins_buzz_bee"
25668.11,25668.75,"ins_buzz_bee"
25668.82,25670.3,"ins_buzz_high"
25670.66,25671.4,"ins_buzz_bee"
25673.76,25676.22,"ins_buzz_bee"
25674.88,25677.42,"ins_buzz_high"
25677.21,25680.74,"ins_buzz_bee"
25678.76,25679.67,"ins_buzz_high"
25680.84,25682.58,"ins_buzz_high"
25683.22,25684.19,"ins_buzz_high"
25685.95,25687.97,"ins_buzz_high"
25689.03,25690.06,"ins_buzz_high"
25726.35,25726.76,"ins_buzz_high"
25727.78,25728.81,"ins_buzz_bee"
25734.5,25859.38,"mech_plane_prop"
25737.87,25738.26,"ins_buzz_high"
25747.96,25750.74,"ins_buzz_low"
25777.07,25778.54,"ins_buzz_high"
25787.8,25789.52,"ins_buzz_low"
25808.49,25808.81,"ins_buzz_high"
25808.59,25809.56,"ins_buzz_low"
25808.98,25810.69,"ins_buzz_bee"
25825.26,25826.89,"ins_buzz_low"
25825.47,25825.91,"ins_buzz_high"
25838.92,25839.88,"ins_buzz_bee"
25841.05,25842.08,"ins_buzz_low"
25843.11,25844.94,"ins_buzz_low"
25853.1,25853.35,"ins_buzz_high"
