"start","end","label"
0,3,"ambient_scraping"
2.43,3.62,"human"
4.4,5.4,"human"
10.36,11.36,"human"
12.62,13.62,"human"
15.2,16.32,"human"
18.18,19.33,"human"
20.67,21.67,"human"
28,28.99,"human"
30.64,31.64,"human"
39.1,40.1,"human"
47.36,48.36,"human"
49.5,50.5,"human"
52.73,53.73,"human"
404.89,405.89,"RECLASSIFY"
667.28,670.28,"ambient_day"
931.6,932.6,"RECLASSIFY"
1543.91,1546.91,"ambient_day"
2158.09,2159.09,"mech_traffic_RECLASSIFY"
2338.36,2341.36,"ambient_day"
2520.73,2521.73,"RECLASSIFY"
2604.55,2607.55,"ambient_day"
2690.27,2691.27,"RECLASSIFY"
3009.12,3012.12,"mech_plane_prop"
3011.18,3012.18,"mech_traffic_RECLASSIFY"
3017.48,3018.48,"mech_traffic_RECLASSIFY"
3329.95,3330.95,"mech_traffic_RECLASSIFY"
4485.92,4486.92,"mech_traffic_RECLASSIFY"
4487.82,4488.82,"mech_traffic_RECLASSIFY"
4491.31,4492.31,"mech_traffic_RECLASSIFY"
4493.87,4494.87,"mech_traffic_RECLASSIFY"
4495.52,4496.52,"mech_traffic_RECLASSIFY"
4498.52,4499.52,"mech_traffic_RECLASSIFY"
4500.36,4501.36,"mech_traffic_RECLASSIFY"
4502.56,4503.9,"mech_traffic_RECLASSIFY"
4505.12,4506.21,"mech_traffic_RECLASSIFY"
4507.58,4509.57,"mech_traffic_RECLASSIFY"
4513.57,4514.62,"mech_traffic_RECLASSIFY"
4515.48,4516.48,"mech_traffic_RECLASSIFY"
4518.05,4519.04,"mech_traffic_RECLASSIFY"
4520.42,4521.7,"mech_traffic_RECLASSIFY"
4523.07,4525.57,"mech_traffic_RECLASSIFY"
4527.2,4529.31,"mech_traffic_RECLASSIFY"
4531.24,4532.24,"mech_traffic_RECLASSIFY"
4533.04,4534.04,"mech_traffic_RECLASSIFY"
4534.69,4536.16,"mech_traffic_RECLASSIFY"
4537.45,4538.45,"mech_traffic_RECLASSIFY"
4593.07,4594.07,"mech_traffic_RECLASSIFY"
4594.84,4595.84,"mech_traffic_RECLASSIFY"
4599.84,4600.84,"mech_traffic_RECLASSIFY"
4604.42,4605.6,"mech_traffic_RECLASSIFY"
4612.74,4613.76,"mech_traffic_RECLASSIFY"
4616.96,4618.27,"mech_traffic_RECLASSIFY"
4619.71,4620.71,"mech_traffic_RECLASSIFY"
4622.72,4623.72,"mech_traffic_RECLASSIFY"
4626.89,4627.89,"mech_traffic_RECLASSIFY"
4632.27,4633.27,"mech_traffic_RECLASSIFY"
4637.45,4638.45,"mech_traffic_RECLASSIFY"
4640.35,4641.38,"mech_traffic_RECLASSIFY"
4650.6,4651.6,"mech_traffic_RECLASSIFY"
4675.53,4676.53,"mech_traffic_RECLASSIFY"
4678.78,4679.78,"mech_traffic_RECLASSIFY"
4700.19,4701.18,"mech_traffic_RECLASSIFY"
4703.6,4704.6,"mech_traffic_RECLASSIFY"
4716.25,4717.25,"mech_traffic_RECLASSIFY"
