"start","end","label"
0.73,1.73,"human"
3.55,4.55,"human"
16.38,17.38,"human"
21.15,22.15,"human"
23.95,24.95,"human"
27.96,28.96,"human"
31.6,32.6,"human"
34.25,35.25,"human"
39.24,40.24,"human"
43.4,44.4,"human"
52.56,53.56,"human"
68.56,69.56,"RECLASSIFY"
69.88,70.88,"RECLASSIFY"
159.15,160.15,"mech_traffic_RECLASSIFY"
204.16,205.16,"mech_traffic_RECLASSIFY"
1300.28,1301.28,"mech_traffic_RECLASSIFY"
1667.37,1668.37,"mech_traffic_RECLASSIFY"
2040,2043,"ambient_night"
2511.84,2514.84,"ambient_day"
3358.59,3359.59,"mech_traffic_RECLASSIFY"
4360.4,4363.4,"ambient_day"
5364.17,5365.17,"mech_traffic_RECLASSIFY"
6656.67,6657.67,"mech_traffic_RECLASSIFY"
6658.4,6659.4,"mech_traffic_RECLASSIFY"
6660.28,6661.28,"mech_traffic_RECLASSIFY"
6661.82,6662.82,"mech_traffic_RECLASSIFY"
6663.78,6665.25,"mech_traffic_RECLASSIFY"
6667.07,6668.07,"mech_traffic_RECLASSIFY"
6668.76,6669.76,"mech_traffic_RECLASSIFY"
6670.53,6671.58,"mech_traffic_RECLASSIFY"
6673.79,6674.85,"mech_traffic_RECLASSIFY"
6677.39,6678.39,"mech_traffic_RECLASSIFY"
6678.89,6679.89,"mech_traffic_RECLASSIFY"
6680.67,6682.24,"mech_traffic_RECLASSIFY"
6683.71,6684.74,"mech_traffic_RECLASSIFY"
6685.74,6686.74,"mech_traffic_RECLASSIFY"
6687.36,6688.36,"mech_traffic_RECLASSIFY"
6689.66,6690.66,"mech_traffic_RECLASSIFY"
6692,6693,"mech_traffic_RECLASSIFY"
6694.99,6695.99,"mech_traffic_RECLASSIFY"
6697.63,6698.63,"mech_traffic_RECLASSIFY"
7038.63,7041.63,"ambient_day"
7105.52,7106.52,"bird_goose"
7108.19,7109.19,"bird_goose"
7329.04,7334.26,"mech_combine"
7792.86,7793.86,"RECLASSIFY"
7794.38,7795.38,"RECLASSIFY"
7797.38,7799.01,"RECLASSIFY"
7800.13,7801.34,"RECLASSIFY"
7807.76,7808.76,"RECLASSIFY"
7935.48,7936.48,"mech_traffic_RECLASSIFY"
7937.18,7938.18,"mech_traffic_RECLASSIFY"
8715.2,8716.19,"ins_buzz_high"
9320.06,9324.68,"mech_combine"
9364.68,9367.68,"mech_plane_prop"
10015.92,10016.92,"mech_traffic_RECLASSIFY"
10427.9,10429.18,"RECLASSIFY"
10433.6,10434.6,"RECLASSIFY"
10436.13,10437.54,"RECLASSIFY"
10439.18,10440.18,"RECLASSIFY"
10442.21,10444,"RECLASSIFY"
10445,10446,"RECLASSIFY"
10447.42,10448.67,"RECLASSIFY"
10449.86,10450.88,"RECLASSIFY"
10461.61,10462.61,"RECLASSIFY"
11523.21,11524.21,"RECLASSIFY"
11527.01,11528,"RECLASSIFY"
11529,11530,"RECLASSIFY"
11530.37,11531.71,"RECLASSIFY"
11538.49,11539.49,"RECLASSIFY"
11691.06,11694.06,"ambient_day"
12011.2,12012.2,"mech_combine"
12013.42,12014.42,"mech_combine"
12066.99,12067.99,"mech_combine"
12071.47,12072.47,"mech_combine"
13102.59,13104,"RECLASSIFY"
13112.16,13113.16,"RECLASSIFY"
