"experiment","deployment","fold","ident","recorder"
"Chia - Bee Audio 2022 Original","7-13-22_SouthCharleston","validate","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01","1"
"Chia - Bee Audio 2022 Original","7-13-22_SouthCharleston","validate","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220715_1123","1"
"Chia - Bee Audio 2022 Original","7-13-22_SouthCharleston","validate","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/2/220713_0943","2"
"Chia - Bee Audio 2022 Original","7-13-22_SouthCharleston","validate","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/2/220715_1125","2"
"Chia - Bee Audio 2022 Original","7-13-22_SouthCharleston","validate","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/3/220713_0944","3"
"Chia - Bee Audio 2022 Original","7-13-22_SouthCharleston","validate","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/3/220715_1127","3"
"Chia - Bee Audio 2022 Original","7-13-22_SouthCharleston","validate","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/4/220713_0946","4"
"Chia - Bee Audio 2022 Original","7-13-22_SouthCharleston","validate","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/4/220715_1128","4"
"Chia - Bee Audio 2022 Original","7-13-22_SouthCharleston","validate","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/5/220713_0947","5"
"Chia - Bee Audio 2022 Original","7-13-22_SouthCharleston","validate","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/5/220715_1130","5"
"Chia - Bee Audio 2022 Original","7-13-22_SouthCharleston","validate","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/6/220713_0948","6"
"Chia - Bee Audio 2022 Original","7-13-22_SouthCharleston","validate","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/6/220715_1131","6"
"Chia - Bee Audio 2022 Original","7-13-22_SouthCharleston","validate","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/7/220713_0951","7"
"Chia - Bee Audio 2022 Original","7-13-22_SouthCharleston","validate","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/7/220715_1134","7"
"Chia - Bee Audio 2022 Original","7-13-22_SouthCharleston","train","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/8/220713_0953","8"
"Chia - Bee Audio 2022 Original","7-13-22_SouthCharleston","validate","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/8/220715_1135","8"
"Chia - OSPT","2022/2022-07-26","validate","Chia - OSPT/2022/2022-07-26/10/220726_1209","10"
"Chia - OSPT","2022/2022-07-26","validate","Chia - OSPT/2022/2022-07-26/14/220726_1202","14"
"Chia - OSPT","2022/2022-07-26","validate","Chia - OSPT/2022/2022-07-26/15/220728_1403","15"
"Chia - OSPT","2022/2022-07-26","validate","Chia - OSPT/2022/2022-07-26/17/220725_1311","17"
"Chia - OSPT","2022/2022-07-26","validate","Chia - OSPT/2022/2022-07-26/18/220725_1319","18"
"Chia - OSPT","2022/2022-07-26","validate","Chia - OSPT/2022/2022-07-26/18/220727_1501","18"
"Chia - OSPT","2022/2022-07-26","validate","Chia - OSPT/2022/2022-07-26/23/220727_1453","23"
"Chia - OSPT","2022/2022-07-26","validate","Chia - OSPT/2022/2022-07-26/25/220725_1324","25"
"Chia - OSPT","2022/2022-07-26","validate","Chia - OSPT/2022/2022-07-26/25/220727_1507","25"
"Chia - OSPT","2022/2022-07-26","validate","Chia - OSPT/2022/2022-07-26/29/220725_1321","29"
"Chia - OSPT","2022/2022-08-02","train","Chia - OSPT/2022/2022-08-02/11/220802_1058","11"
"Chia - OSPT","2022/2022-08-02","train","Chia - OSPT/2022/2022-08-02/13/220802_1108","13"
"Chia - OSPT","2022/2022-08-02","train","Chia - OSPT/2022/2022-08-02/13/220806_1432","13"
