"label","duration","occurences"
"ambient_background",5322,2259009
"ambient_bang",60,13924
"ambient_music",159,9
"ambient_rain",1141,2916
"ambient_rustle",374,22801
"ambient_scraping",655,297025
"animal_bird_goose",31,729
"animal_frog_pickerel",134,24649
"animal_frog_tree",149,1936
"human",669,59049
"ins_buzz_RECLASSIFY",11,81
"ins_buzz_high",189,19881
"ins_buzz_low",834,235225
"ins_buzz_medium",1469,874225
"ins_trill",1908,112896
"mech_auto_RECLASSIFY",35,1
"mech_auto_bike",191,961
"mech_auto_car",1369,16641
"mech_auto_hum",5,4
"mech_auto_truck",1786,8281
"mech_combine",1700,1028196
"mech_drone",6,1
"mech_hum_RECLASSIFY",347,4
"mech_hum_auto",56,64
"mech_hum_chainsaw",155,144
"mech_hum_lawnmower",407,25
"mech_hum_traffic",311,1600
"mech_plane_helicopter",72,1
"mech_plane_jet",1106,1369
"mech_plane_prop",3268,12100
"mech_siren",173,25921
"mech_train",96,6889
"static",296,4
