"label","train","validate"
"ambient_background",2518,2804
"ambient_bang",30,30
"ambient_music",159,NA
"ambient_rain",366,698
"ambient_rustle",180,194
"ambient_scraping",102,553
"animal_bird_goose",31,NA
"animal_frog_pickerel",134,NA
"animal_frog_tree",86,63
"human",43,626
"ins_buzz_RECLASSIFY",2,9
"ins_buzz_bee",519,950
"ins_buzz_high",80,109
"ins_buzz_low",541,293
"ins_cicada",216,397
"ins_trill",500,795
"mech_auto_bike",136,55
"mech_auto_car",640,729
"mech_auto_hum",5,NA
"mech_auto_truck",840,946
"mech_combine",1375,325
"mech_hum_RECLASSIFY",300,47
"mech_hum_auto",7,49
"mech_hum_lawnmower",300,107
"mech_hum_traffic",129,182
"mech_plane_helicopter",72,NA
"mech_plane_jet",706,400
"mech_plane_prop",1749,1519
"mech_siren",173,NA
"mech_train",8,88
"ambient_thunder",NA,77
"mech_drone",NA,6
"mech_hum_chainsaw",NA,155
