"ident","start","end","label"
"Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/8/220713_0953",136320,136434.963,"mech_plane_prop"
"Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/8/220713_0953",136395.7282,136476.596,"mech_hum_traffic"
"Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/8/220713_0953",136487.39,136495.614,"mech_hum_traffic"
"Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/8/220713_0953",136505.551,136616.402,"mech_hum_traffic"
"Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/8/220713_0953",139920,140017.1138,"mech_hum_traffic"
"Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/8/220713_0953",140050.221,140117.114,"mech_auto_car"
"Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/8/220713_0953",140118.472,140176.537,"ambient_background"
"Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/8/220713_0953",140184.177,140209.813,"ambient_background"
"Chia - Bee Audio 2022 Original/7-19-22_WestManchester/10/220721_1123",55320,55422.048,"mech_hum_traffic"
"Chia - Bee Audio 2022 Original/7-19-22_WestManchester/10/220721_1123",55429.386,55433.733,"mech_hum_traffic"
"Chia - Bee Audio 2022 Original/7-19-22_WestManchester/10/220721_1123",55446.107,55447.071,"ambient_rustle"
"Chia - Bee Audio 2022 Original/7-19-22_WestManchester/10/220721_1123",55452.145,55453.058,"ambient_rustle"
"Chia - Bee Audio 2022 Original/7-19-22_WestManchester/10/220721_1123",55454.022,55455.138,"ambient_rustle"
"Chia - Bee Audio 2022 Original/7-19-22_WestManchester/10/220721_1123",55456.681,55632.466,"mech_hum_traffic"
"Chia - Bee Audio 2022 Original/7-19-22_WestManchester/16/220721_1135",54600,54764.952,"mech_hum_traffic"
"Chia - Bee Audio 2022 Original/7-19-22_WestManchester/16/220721_1135",54739.861,54740.761,"ambient_rustle"
"Chia - Bee Audio 2022 Original/7-19-22_WestManchester/16/220721_1135",54744.363,54747.124,"ambient_rustle"
