"ident","fold"
"Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/8/220713_0953","train"
"Chia - Bee Audio 2022 Original/7-19-22_WestManchester/10/220721_1123","train"
"Chia - Bee Audio 2022 Original/7-19-22_WestManchester/16/220721_1135","train"
"Chia - Bee Audio 2022 Original/7-19-22_Wilmington/5/220721_1339","train"
"Chia - Bee Audio 2022 Original/7-19-22_Wilmington/7/220721_1341","train"
"Chia - Bee Audio 2022 Original/8-18-2022_Wilmington/5/220818_1114","train"
"Chia - Bee Audio 2022 Original/8-18-2022_Wilmington/6/220818_1113","train"
"Chia - Bee Audio 2022 Original/8-18-2022_Wilmington/8/220822_1442","train"
"Chia - Bee Audio 2022 Original/8-3-22_SouthCharleston/1/220805_1044","train"
"Chia - Bee Audio 2022 Original/8-3-22_SouthCharleston/4/220803_0906","train"
"Chia - Bee Audio 2022 Original/8-8-22_Marysville/2/220808_1342","train"
"Chia - Bee Audio 2022 Original/8-8-22_Marysville/8/220810_1529","train"
"Chia_Lin - Soybean on-farm spray audios/2023-07-25 Combs Sabine-Bigelow/23/230725_1159","train"
"Chia_Lin - Soybean on-farm spray audios/2023-07-30 FSR/29/230730_1704","train"
"Chia_Lin - Soybean on-farm spray audios/2023-07-30 FSR/3/230730_1704","train"
"Karlan Forrester - Soybean Attractiveness/A11/1/210723_1133","train"
"Karlan Forrester - Soybean Attractiveness/A11/2/210723_1133","train"
"Karlan Forrester - Soybean Attractiveness/C9-16/1/210805_0739","train"
"Karlan Forrester - Soybean Attractiveness/C9-16/4/210823_1908","train"
"Karlan Forrester - Soybean Attractiveness/EBN/1/210726_0953","train"
"Karlan Forrester - Soybean Attractiveness/L6-8/1/210723_1039","train"
"Karlan Forrester - Soybean Attractiveness/L6-8/2/210723_1038","train"
