"ident","start","end","label"
"Lilian Martin - Dicentra/BTW/1_103/250415_1209",100276.384914,100276.829532,"ambient_background"
"Lilian Martin - Dicentra/BTW/1_103/250415_1209",100278.216739,100278.608002,"ambient_background"
"Lilian Martin - Dicentra/BTW/1_103/250415_1209",100279.35496,100279.852932,"ins_buzz_low"
"Lilian Martin - Dicentra/BTW/1_103/250415_1209",100280.345133,100290.024094,"ambient_rustle"
"Lilian Martin - Dicentra/BTW/1_103/250415_1209",100292.277511,100292.599427,"ambient_rustle"
"Lilian Martin - Dicentra/BTW/1_103/250415_1209",100306.398921,100308.223116,"ambient_squeak"
"Lilian Martin - Dicentra/BTW/1_103/250415_1209",100312.987482,100316.893405,"ambient_rustle"
"Lilian Martin - Dicentra/BTW/1_103/250415_1209",100327.04451,100327.280582,"ambient_scraping"
"Lilian Martin - Dicentra/BTW/1_103/250415_1209",100331.122121,100332.474171,"ins_buzz_low"
"Lilian Martin - Dicentra/BTW/1_103/250415_1209",100340.200171,100341.316149,"ins_buzz_low"
"Lilian Martin - Dicentra/BTW/1_103/250415_1209",100366.511493,100378.336565,"ambient_background"
"Lilian Martin - Dicentra/BTW/1_103/250415_1209",100392.801353,100395.956136,"ambient_background"
"Lilian Martin - Dicentra/BTW/1_103/250415_1209",100427.418125,100427.825886,"ambient_background"
"Lilian Martin - Dicentra/BTW/1_103/250415_1209",100431.324047,100432.096647,"ambient_squeak"
"Lilian Martin - Dicentra/BTW/1_103/250415_1209",100444.308019,100445.037697,"ambient_background"
"Lilian Martin - Dicentra/BTW/1_103/250415_1209",100517.453864,100520.019605,"ambient_background"
"Lilian Martin - Dicentra/BTW/1_103/250415_1209",100529.40289,100530.282573,"ambient_background"
"Lilian Martin - Dicentra/BTW/1_103/250415_1209",100532.188552,100532.59174,"ambient_background"
"Lilian Martin - Dicentra/BTW/1_103/250415_1209",100539.299322,100545.677024,"ambient_background"
"Lilian Martin - Dicentra/BTW/1_103/250415_1209",100551.138388,100552.567873,"ambient_background"
"Lilian Martin - Dicentra/BTW/1_103/250415_1209",103867.042995,103867.166286,"ambient_scraping"
"Lilian Martin - Dicentra/BTW/1_103/250415_1209",103941.839677,103942.008618,"ambient_scraping"
"Lilian Martin - Dicentra/BTW/1_103/250415_1209",103983.85763,103984.485124,"ambient_background"
"Lilian Martin - Dicentra/BTW/1_103/250415_1209",103991.315153,103992.135722,"ambient_background"
"Lilian Martin - Dicentra/BTW/1_103/250415_1209",104002.682446,104004.323583,"ambient_background"
"Lilian Martin - Dicentra/BTW/1_103/250415_1209",104030.243906,104035.625872,"ambient_rustle"
"Lilian Martin - Dicentra/BTW/1_103/250415_1209",107460,107466.596929,"ambient_background"
"Lilian Martin - Dicentra/BTW/1_103/250415_1209",107471.47292,107654.465995,"ambient_background"
"Lilian Martin - Dicentra/BTW/1_103/250415_1209",107682.431238,107696.342153,"ambient_background"
"Lilian Martin - Dicentra/BTW/1_103/250415_1209",107702.032171,107705.289462,"ambient_background"
"Lilian Martin - Dicentra/BTW/1_103/250415_1209",107710.6918,107759.829707,"ambient_background"
"Lilian Martin - Dicentra/BTW/1_103/250415_1209",107721.814258,107722.60872,"ambient_squeak"
"Lilian Martin - Dicentra/BTW/1_103/250415_1209",107726.422134,107730.235548,"ambient_squeak"
"Lilian Martin - Dicentra/BTW/1_103/250415_1209",107737.743682,107738.220359,"ambient_rustle"
"Lilian Martin - Dicentra/BTW/1_103/250415_1209",111060.932167,111066.982458,"ambient_background"
"Lilian Martin - Dicentra/BTW/1_103/250415_1209",111067.844272,111068.108093,"ambient_background"
