"ident","start","end","label"
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s105_ch3",0,2.5,"ins_buzz_medium"
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s105_ch3",0.2353,1.6918,"ins_buzz_low"
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s118_ch3",0.029583,2.592,"ins_buzz_strange"
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000002/2023427-16-31_Bombus_terrestris_000002_s185_ch0",0.2187,0.5954,"ins_buzz_medium"
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000002/2023427-16-31_Bombus_terrestris_000002_s185_ch0",2.1628,2.5,"ins_buzz_medium"
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000003/2023427-16-31_Bombus_terrestris_000003_s56_ch1",0.5533,1.7127,"ambient_background"
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000053/2023427-16-31_Bombus_terrestris_000053_s24_ch2",0,2.5,"ambient_background"
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000009/2023510-16-19_Bombus_terrestris_000009_s92_ch1",0.029583,2.592,"static"
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000022/2023510-16-19_Bombus_terrestris_000022_s116_ch3",0,2.592,"ins_buzz_medium"
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000031/2023510-16-19_Bombus_terrestris_000031_s158_ch3",0.006574,2.592,"ins_buzz"
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000032/2023510-16-19_Bombus_terrestris_000032_s88_ch0",0,2.5,"ins_buzz_medium"
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000033/2023510-16-19_Bombus_terrestris_000033_s183_ch2",0,2.592,"ins_buzz_medium"
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000034/2023510-16-19_Bombus_terrestris_000034_s13_ch0",0,2.5,"ins_buzz_Bombus"
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000034/2023510-16-19_Bombus_terrestris_000034_s85_ch0",0,2.5,"ins_buzz_Bombus"
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000034/2023510-16-19_Bombus_terrestris_000034_s95_ch0",0,2.5,"ins_buzz_Bombus"
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/202359-16-42/000002/202359-16-42_Bombus_terrestris_000002_s154_ch0",0,2.592,"ins_buzz_medium"
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/202359-16-42/000004/202359-16-42_Bombus_terrestris_000004_s220_ch3",0.065739,2.592,"ambient_scraping"
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/202359-16-42/000004/202359-16-42_Bombus_terrestris_000004_s222_ch3",0.009861,2.592,"static"
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/202359-16-42/000021/202359-16-42_Bombus_terrestris_000021_s162_ch0",0.006574,2.592,"ins_buzz"
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/202359-16-42/000027/202359-16-42_Bombus_terrestris_000027_s40_ch0",0.0733,2.5,"ambient_bang"
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/202359-16-42/000029/202359-16-42_Bombus_terrestris_000029_s80_ch2",0,2.5,"ambient_background"
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s1_ch0",0,2.5,"ambient_noise"
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s10_ch0",0,2.5,"ambient_background"
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s11_ch0",0,2.5,"ambient_background"
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s12_ch0",0,2.5,"ambient_background"
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s13_ch0",0,2.5,"ambient_background"
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s14_ch0",0,2.5,"ambient_background"
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s14_ch0",0,2.5,"ambient_background"
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s15_ch0",0,2.5,"ambient_background"
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s16_ch0",0,2.5,"ambient_noise"
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s17_ch0",0,2.5,"ambient_background"
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s18_ch0",0,2.5,"ambient_noise"
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s19_ch0",0,2.5,"ambient_background"
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s2_ch0",0,2.5,"ambient_noise"
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s20_ch0",0,2.5,"ambient_noise"
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s21_ch0",0,2.5,"ambient_background"
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s22_ch0",0,2.5,"ambient_background"
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s23_ch0",0,2.5,"ambient_background"
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s24_ch0",0,2.5,"ambient_background"
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s25_ch0",0,2.5,"ambient_noise"
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s26_ch0",0,2.5,"ambient_noise"
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s27_ch0",0,2.5,"ambient_noise"
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s28_ch0",0,2.5,"ambient_background"
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s29_ch0",0,2.5,"ambient_background"
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s3_ch0",0,2.5,"ambient_background"
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s30_ch0",0,2.5,"ambient_noise"
