"ident","ins_buzz_max"
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s100_ch3",-0.66
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s101_ch3",-1.24
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s102_ch3",-1.01
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s103_ch3",-0.81
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s104_ch3",-1.23
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s105_ch3",-0.78
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s106_ch3",-0.43
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s107_ch3",-1.34
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s108_ch3",-1.04
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s109_ch3",-0.98
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s10_ch3",-0.5
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s110_ch3",-0.72
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s111_ch3",-0.77
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s112_ch3",-1.54
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s113_ch3",-2.27
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s114_ch3",-2.45
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s115_ch3",-1.53
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s116_ch3",-1.75
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s117_ch3",-0.47
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s118_ch3",-0.2
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s119_ch3",-0.93
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s11_ch3",-1.29
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s120_ch3",-1.96
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s121_ch3",-0.61
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s122_ch3",0.75
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s123_ch3",0.51
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s124_ch3",-0.52
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s125_ch3",-0.84
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s126_ch3",-0.74
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s127_ch3",-0.17
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s128_ch3",-0.03
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s129_ch3",0.03
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s12_ch3",-0.26
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s130_ch3",-0.63
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s131_ch3",0.08
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s132_ch3",-1.6
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s133_ch3",-1.17
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s134_ch3",-0.58
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s135_ch3",-0.66
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s136_ch3",-0.99
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s137_ch3",-0.31
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s138_ch3",0.57
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s139_ch3",-0.39
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s13_ch3",0.42
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s140_ch3",-0.62
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s141_ch3",-0.44
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s142_ch3",-1.48
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s143_ch3",-1.44
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s144_ch3",0.03
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s145_ch3",-0.99
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s146_ch3",-1.32
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s147_ch3",-1.42
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s148_ch3",-1.35
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s149_ch3",-0.56
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s14_ch3",-0.26
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s150_ch3",0.01
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s151_ch3",0.74
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s152_ch3",-1.1
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s153_ch3",-0.75
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s154_ch3",0.12
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s155_ch3",-0.31
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s156_ch3",0.42
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s157_ch3",-0.27
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s158_ch3",-0.83
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s159_ch3",-1.2
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s15_ch3",-0.68
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s160_ch3",-0.52
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s161_ch3",-0.36
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s162_ch3",-0.32
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s163_ch3",-0.93
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s164_ch3",-0.48
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s165_ch3",0.66
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s166_ch3",-1.09
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s167_ch3",-1.85
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s168_ch3",-0.18
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s169_ch3",-0.7
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s16_ch3",-0.93
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s170_ch3",-0.54
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s171_ch3",-1.25
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s172_ch3",-1.62
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s173_ch3",-0.19
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s174_ch3",0.69
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s175_ch3",-0.9
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s176_ch3",-0.68
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s177_ch3",-2.23
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s178_ch3",-0.62
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s179_ch3",-0.57
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s17_ch3",0.38
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s180_ch3",0.18
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s181_ch3",0.74
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s182_ch3",-1.51
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s183_ch3",-1.67
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s184_ch3",-0.51
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s185_ch3",-0.68
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s186_ch3",-0.35
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s187_ch3",-1.12
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s188_ch3",-0.45
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s189_ch3",-1.15
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s18_ch3",-0.48
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s190_ch3",-1.18
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s191_ch3",-1.37
