"ident","start","end","label"
"Luke - Various Opportunistic Recordings/2025-07-07/1_111/250709_1217",16680,16980.48,"auto_honeybeehive"
"Luke - Various Opportunistic Recordings/2025-07-07/1_60/250709_1214",16560,16860.48,"auto_honeybeehive"
"Luke - Various Opportunistic Recordings/2025-07-07/1_60/250709_1214",18960,19260.48,"auto_honeybeehive"
"Luke - Various Opportunistic Recordings/2025-07-07/1_60/250709_1214",20760,21060.48,"auto_honeybeehive"
"Luke - Various Opportunistic Recordings/2025-07-07/1_60/250709_1214",26760,27060.48,"auto_honeybeehive"
"Luke - Various Opportunistic Recordings/2025-04-22/1_76/250425_1927",111211.2,111212.16,"auto_ambient_night"
"Luke - Various Opportunistic Recordings/2025-07-15/1_1/250715_1641",23368.32,23369.28,"auto_ambient_night"
"Luke - Various Opportunistic Recordings/2025-07-07/1_73/250707_1152",40104,40104.96,"auto_ambient_night"
"Luke - Various Opportunistic Recordings/2025-07-07/1_73/250707_1152",40097.28,40098.24,"auto_ambient_night"
"Luke - Various Opportunistic Recordings/2025-04-22/1_44/250424_1827",23106.24,23107.2,"auto_ambient_night"
"Luke - Various Opportunistic Recordings/2025-07-07/1_73/250707_1152",40111.68,40112.64,"auto_ambient_night"
"Luke - Various Opportunistic Recordings/2025-04-22/1_80/250424_1833",20874.24,20875.2,"auto_ambient_night"
"Luke - Various Opportunistic Recordings/2025-04-22/1_51/250424_1831",28465.92,28466.88,"auto_ambient_night"
"Luke - Various Opportunistic Recordings/2025-04-22/50/250424_1835",20099.52,20100.48,"auto_ambient_night"
"Luke - Various Opportunistic Recordings/2025-04-22/1_51/250424_1831",21580.8,21581.76,"auto_ambient_night"
"Luke - Various Opportunistic Recordings/2025-04-22/1_51/250424_1831",28445.76,28446.72,"auto_ambient_night"
"Luke - Various Opportunistic Recordings/2025-07-23/1_72/250724_1741_01",22535.04,22536,"auto_ambient_night"
"Luke - Various Opportunistic Recordings/2025-04-22/1_51/250424_1831",21154.56,21155.52,"auto_ambient_night"
"Luke - Various Opportunistic Recordings/2025-04-22/22/250424_1828",23730.24,23731.2,"auto_ambient_night"
"Luke - Various Opportunistic Recordings/2025-04-22/22/250424_1828",21528.96,21529.92,"auto_ambient_night"
"Luke - Various Opportunistic Recordings/2025-04-22/1_51/250424_1831",23317.44,23318.4,"auto_ambient_night"
"Luke - Various Opportunistic Recordings/2025-04-22/1_80/250424_1833",28488,28488.96,"auto_ambient_night"
"Luke - Various Opportunistic Recordings/2025-07-23/1_32/250723_0815",142930.56,142931.52,"auto_ambient_night"
"Luke - Various Opportunistic Recordings/2025-07-23/5/250724_1743",37922.88,37923.84,"auto_ambient_night"
"Luke - Various Opportunistic Recordings/2025-04-22/1_90/250422_1610",36047.04,36048,"auto_ambient_night"
"Luke - Various Opportunistic Recordings/2025-07-07/1_73/250707_1152",40095.36,40096.32,"auto_ambient_night"
"Luke - Various Opportunistic Recordings/2025-04-22/54/250424_1831_01",21778.56,21779.52,"auto_ambient_night"
"Luke - Various Opportunistic Recordings/2025-07-07/1_73/250707_1152",40106.88,40107.84,"auto_ambient_night"
"Luke - Various Opportunistic Recordings/2025-07-07/1_73/250707_1152",40113.6,40114.56,"auto_ambient_night"
"Luke - Various Opportunistic Recordings/2025-07-23/1_72/250724_1741_01",29847.36,29848.32,"auto_ambient_night"
"Luke - Various Opportunistic Recordings/2025-07-23/1_72/250724_1741_01",23924.16,23925.12,"auto_ambient_night"
"Luke - Various Opportunistic Recordings/2025-09-19/18/250919_1428",120334.08,120335.04,"auto_ambient_night"
"Luke - Various Opportunistic Recordings/2025-04-22/1_51/250424_1831",23058.24,23059.2,"auto_ambient_night"
"Luke - Various Opportunistic Recordings/2025-07-07/1_73/250707_1152",40103.04,40104,"auto_ambient_night"
"Luke - Various Opportunistic Recordings/2025-04-22/1_51/250424_1831",23761.92,23762.88,"auto_ambient_night"
"Luke - Various Opportunistic Recordings/2025-04-22/50/250424_1835",19454.4,19455.36,"auto_ambient_night"
"Luke - Various Opportunistic Recordings/2025-04-22/1_90/250422_1610",35905.92,35906.88,"auto_ambient_night"
"Luke - Various Opportunistic Recordings/2025-04-22/1_51/250424_1831",22649.28,22650.24,"auto_ambient_night"
"Luke - Various Opportunistic Recordings/2025-04-22/1_76/250422_1610",35950.08,35951.04,"auto_ambient_night"
