"ident","fold"
"Luke - Various Opportunistic Recordings/2025-07-07/1_111/250709_1217","train"
"Luke - Various Opportunistic Recordings/2025-07-07/1_60/250709_1214","train"
"Luke - Various Opportunistic Recordings/2025-04-22/1_76/250425_1927","train"
"Luke - Various Opportunistic Recordings/2025-07-15/1_1/250715_1641","train"
"Luke - Various Opportunistic Recordings/2025-07-07/1_73/250707_1152","train"
"Luke - Various Opportunistic Recordings/2025-04-22/1_44/250424_1827","train"
"Luke - Various Opportunistic Recordings/2025-04-22/1_80/250424_1833","train"
"Luke - Various Opportunistic Recordings/2025-04-22/1_51/250424_1831","train"
"Luke - Various Opportunistic Recordings/2025-04-22/50/250424_1835","train"
"Luke - Various Opportunistic Recordings/2025-07-23/1_72/250724_1741_01","train"
"Luke - Various Opportunistic Recordings/2025-04-22/22/250424_1828","train"
"Luke - Various Opportunistic Recordings/2025-07-23/1_32/250723_0815","train"
"Luke - Various Opportunistic Recordings/2025-07-23/5/250724_1743","train"
"Luke - Various Opportunistic Recordings/2025-04-22/1_90/250422_1610","train"
"Luke - Various Opportunistic Recordings/2025-04-22/54/250424_1831_01","train"
"Luke - Various Opportunistic Recordings/2025-09-19/18/250919_1428","train"
"Luke - Various Opportunistic Recordings/2025-04-22/1_76/250422_1610","train"
"Luke - Various Opportunistic Recordings/2025-07-09/1_20/250711_1147","train"
"Luke - Various Opportunistic Recordings/2025-04-22/1_18/250422_1610","train"
"Luke - Various Opportunistic Recordings/2025-08-12/6/250812_1147","train"
"Luke - Various Opportunistic Recordings/2025-04-22/1_107/250425_1931","train"
"Luke - Various Opportunistic Recordings/2025-04-23/1_40/250424_1842","train"
"Luke - Various Opportunistic Recordings/2025-07-15/1_107/250715_1642","train"
"Luke - Various Opportunistic Recordings/2025-04-22/1_107/250422_1610","train"
"Luke - Various Opportunistic Recordings/2025-07-03/1_137/250703_1613","train"
"Luke - Various Opportunistic Recordings/2025-07-23/1_48/250724_1740","train"
"Luke - Various Opportunistic Recordings/2025-08-12/1_114/250812_1225","train"
"Luke - Various Opportunistic Recordings/2025-04-23/1_108/250424_1841","train"
"Luke - Various Opportunistic Recordings/2025-07-08/1_137/250708_1325","train"
"Luke - Various Opportunistic Recordings/2025-07-09/1_29/250711_1150","train"
"Luke - Various Opportunistic Recordings/2025-07-09/1_32/250711_1121","train"
"Luke - Various Opportunistic Recordings/2025-08-12/1_10/250812_1219","train"
"Luke - Various Opportunistic Recordings/2025-08-12/3/250812_1146","train"
"Luke - Various Opportunistic Recordings/2025-07-07/24/250707_1037","train"
"Luke - Various Opportunistic Recordings/2025-07-23/1_67/250731_1505","train"
"Luke - Various Opportunistic Recordings/2025-04-22/1_18/250424_1822","train"
"Luke - Various Opportunistic Recordings/2025-08-08/52/250808_1237","train"
"Luke - Various Opportunistic Recordings/2025-06-23/1_37/250627_0828","train"
"Luke - Various Opportunistic Recordings/2025-04-22/1_107/250424_1825","train"
"Luke - Various Opportunistic Recordings/2025-08-21/1_62/250821_1338","train"
"Luke - Various Opportunistic Recordings/2025-07-15/1_95/250717_1356","train"
"Luke - Various Opportunistic Recordings/2025-08-12/1_16/250812_1238","train"
"Luke - Various Opportunistic Recordings/2025-04-22/1_90/250425_1926","train"
"Luke - Various Opportunistic Recordings/2025-07-03/1_37/250705_1817","train"
"Luke - Various Opportunistic Recordings/2025-07-29/1_73/250729_1306","train"
"Luke - Various Opportunistic Recordings/2025-07-23/1_48/250726_1055","train"
"Luke - Various Opportunistic Recordings/2025-07-23/20/250731_1524","train"
"Luke - Various Opportunistic Recordings/2025-04-23/1_71/250423_1446","train"
"Luke - Various Opportunistic Recordings/2025-07-03/1_52/250703_1528","train"
"Luke - Various Opportunistic Recordings/2025-07-15/1_1/250717_1824","train"
"Luke - Various Opportunistic Recordings/2025-07-09/1_19/250711_1145","train"
"Luke - Various Opportunistic Recordings/2025-07-03/1_137/250705_1755","train"
"Luke - Various Opportunistic Recordings/2025-04-22/1_76/250424_1824","train"
"Luke - Various Opportunistic Recordings/2025-04-22/1_80/250422_1636","train"
"Luke - Various Opportunistic Recordings/2025-06-20/moth_1/20250629_020000","train"
"Luke - Various Opportunistic Recordings/2025-07-15/1_21/250715_1632","train"
"Luke - Various Opportunistic Recordings/2025-07-23/1_86/250731_1523","train"
