"ident","start","end","label"
"JamesU - MustardBumbler/1_29/240903_1319",106860,107160.03,"ins_trill"
"JamesU - MustardBumbler/1_29/240903_1319",106889.0106,106990.059,"mech_plane_prop"
"JamesU - MustardBumbler/1_29/240903_1319",107049.396,107050.254,"ins_buzz_medium"
"JamesU - MustardBumbler/1_29/240903_1319",107075.648,107078.081,"ins_buzz_high"
"JamesU - MustardBumbler/1_29/240903_1319",107079.451,107082.295,"ins_buzz_high"
"JamesU - MustardBumbler/1_29/240903_1319",107135.197,107136.386,"ins_buzz_medium"
"JamesU - MustardBumbler/1_29/240903_1319",107139.003,107140.517,"ins_buzz_medium"
"JamesU - MustardBumbler/1_29/240903_1319",107143.059,107143.931,"ins_buzz_medium"
"JamesU - MustardBumbler/1_29/240903_1319",107144.174,107144.561,"ins_buzz_medium"
"JamesU - MustardBumbler/1_29/240903_1319",107156.408,107157.111,"ins_buzz_high"
"JamesU - MustardBumbler/1_29/240903_1319",110460,110760.004,"ins_trill"
"JamesU - MustardBumbler/1_29/240903_1319",110743.537,110755.016,"mech_auto_car"
"JamesU - MustardBumbler/1_29/240903_1319",114060,114360,"ins_trill"
"JamesU - MustardBumbler/1_29/240903_1319",114060.555,114069.3158,"ambient_music"
"JamesU - MustardBumbler/1_29/240903_1319",114070.3729,114070.6391,"ambient_music"
"JamesU - MustardBumbler/1_29/240903_1319",114072.3575,114072.6232,"ambient_music"
"JamesU - MustardBumbler/1_29/240903_1319",114076.6536,114077.8238,"ambient_music"
"JamesU - MustardBumbler/1_29/240903_1319",114080.8714,114088.9928,"ambient_music"
"JamesU - MustardBumbler/1_29/240903_1319",114092.5382,114094.0924,"ambient_music"
"JamesU - MustardBumbler/1_29/240903_1319",114106.8921,114119.3679,"mech_auto_car"
"JamesU - MustardBumbler/1_29/240903_1319",114124.5391,114128.5148,"mech_auto_car"
"JamesU - MustardBumbler/1_29/240903_1319",114191.009,114243.1717,"ambient_music"
"JamesU - MustardBumbler/1_29/240903_1319",114259.9284,114314.2528,"ambient_music"
"JamesU - MustardBumbler/1_29/240903_1319",114327.9526,114335.2894,"mech_auto_car"
"JamesU - MustardBumbler/1_29/240903_1319",117660,117960,"ins_trill"
"JamesU - MustardBumbler/1_29/240903_1319",117660,117660.6086,"animal_dog"
"JamesU - MustardBumbler/1_29/240903_1319",117661.7384,117662.9072,"animal_dog"
"JamesU - MustardBumbler/1_29/240903_1319",117663.915,117664.5772,"animal_dog"
"JamesU - MustardBumbler/1_29/240903_1319",117674.0466,117674.2267,"animal_dog"
"JamesU - MustardBumbler/1_29/240903_1319",117674.6503,117674.8256,"animal_dog"
"JamesU - MustardBumbler/1_29/240903_1319",117676.0434,117676.1805,"animal_dog"
"JamesU - MustardBumbler/1_29/240903_1319",117676.4236,117676.542,"animal_dog"
"JamesU - MustardBumbler/1_29/240903_1319",117677.0598,117677.2374,"animal_dog"
"JamesU - MustardBumbler/1_29/240903_1319",117680.9622,117681.3922,"animal_dog"
"JamesU - MustardBumbler/1_29/240903_1319",117683.4911,117683.9118,"animal_dog"
"JamesU - MustardBumbler/1_29/240903_1319",117685.4946,117686.473,"animal_dog"
"JamesU - MustardBumbler/1_29/240903_1319",117687.6337,117687.8238,"animal_dog"
"JamesU - MustardBumbler/1_29/240903_1319",117689.9192,117691.2591,"animal_dog"
"JamesU - MustardBumbler/1_29/240903_1319",117692.2963,117692.8416,"animal_dog"
"JamesU - MustardBumbler/1_29/240903_1319",117693.6331,117693.7951,"animal_dog"
"JamesU - MustardBumbler/1_29/240903_1319",117694.7654,117695.0178,"animal_dog"
"JamesU - MustardBumbler/1_29/240903_1319",117696.8151,117697.8231,"animal_dog"
"JamesU - MustardBumbler/1_29/240903_1319",117698.7169,117698.8881,"animal_dog"
"JamesU - MustardBumbler/1_29/240903_1319",117700.0577,117701.4081,"animal_dog"
"JamesU - MustardBumbler/1_29/240903_1319",117704.1667,117705.7977,"animal_dog"
"JamesU - MustardBumbler/1_29/240903_1319",117707.2036,117707.3679,"animal_dog"
"JamesU - MustardBumbler/1_29/240903_1319",117707.7148,117707.8609,"animal_dog"
"JamesU - MustardBumbler/1_29/240903_1319",117713.9247,117715.9507,"animal_dog"
"JamesU - MustardBumbler/1_29/240903_1319",117717.9194,117719.5167,"animal_dog"
"JamesU - MustardBumbler/1_29/240903_1319",117723.0826,117723.677,"animal_dog"
"JamesU - MustardBumbler/1_29/240903_1319",117725.2018,117728.2477,"animal_dog"
"JamesU - MustardBumbler/1_29/240903_1319",117730.5693,117730.7365,"animal_dog"
"JamesU - MustardBumbler/1_29/240903_1319",117731.2194,117731.4237,"animal_dog"
"JamesU - MustardBumbler/1_29/240903_1319",117737.5355,117738.0015,"animal_dog"
"JamesU - MustardBumbler/1_29/240903_1319",117738.4579,117738.5721,"animal_dog"
"JamesU - MustardBumbler/1_29/240903_1319",117739.1236,117739.2377,"animal_dog"
"JamesU - MustardBumbler/1_29/240903_1319",117742.1558,117742.365,"animal_dog"
"JamesU - MustardBumbler/1_29/240903_1319",117743.1163,117744.2003,"animal_dog"
"JamesU - MustardBumbler/1_29/240903_1319",117745.0859,117745.4758,"animal_dog"
"JamesU - MustardBumbler/1_29/240903_1319",117754.4326,117755.6973,"animal_dog"
"JamesU - MustardBumbler/1_29/240903_1319",117756.969,117757.4825,"animal_dog"
"JamesU - MustardBumbler/1_29/240903_1319",117757.9865,117758.1766,"animal_dog"
"JamesU - MustardBumbler/1_29/240903_1319",117770.5231,117771.3211,"animal_dog"
"JamesU - MustardBumbler/1_29/240903_1319",117771.7498,117771.9495,"animal_dog"
"JamesU - MustardBumbler/1_29/240903_1319",117773.305,117773.4516,"animal_dog"
"JamesU - MustardBumbler/1_29/240903_1319",117774.7515,117774.9079,"animal_dog"
"JamesU - MustardBumbler/1_29/240903_1319",117794.121,117796.5253,"mech_auto_car"
"JamesU - MustardBumbler/1_29/240903_1319",117818.8228,117823.3466,"mech_hum_traffic"
"JamesU - MustardBumbler/1_29/240903_1319",117828.2595,117828.3749,"animal_dog"
"JamesU - MustardBumbler/1_29/240903_1319",117828.5047,117828.6777,"animal_dog"
"JamesU - MustardBumbler/1_29/240903_1319",117831.4513,117833.0707,"mech_hum_traffic"
"JamesU - MustardBumbler/1_29/240903_1319",117849.8447,117856.6568,"mech_hum_traffic"
"JamesU - MustardBumbler/1_29/240903_1319",117853.0939,117854.5935,"mech_auto_car"
"JamesU - MustardBumbler/1_29/240903_1319",117858.8571,117862.0079,"mech_hum_traffic"
"JamesU - MustardBumbler/1_29/240903_1319",117859.3009,117860.5626,"mech_auto_car"
"JamesU - MustardBumbler/1_29/240903_1319",117880.6579,117880.8309,"animal_dog"
"JamesU - MustardBumbler/1_29/240903_1319",117881.2707,117881.4221,"animal_dog"
"JamesU - MustardBumbler/1_29/240903_1319",117889.646,117889.8263,"animal_dog"
"JamesU - MustardBumbler/1_29/240903_1319",117901.9028,117902.0759,"animal_dog"
"JamesU - MustardBumbler/1_29/240903_1319",117911.3666,117917.1929,"mech_hum_traffic"
"JamesU - MustardBumbler/1_29/240903_1319",117917.5978,117919.5341,"mech_hum_traffic"
"JamesU - MustardBumbler/1_29/240903_1319",117920.9422,117922.0864,"mech_hum_traffic"
"JamesU - MustardBumbler/1_29/240903_1319",117923.9445,117924.1247,"animal_dog"
"JamesU - MustardBumbler/1_29/240903_1319",117924.8511,117926.5585,"mech_hum_traffic"
"JamesU - MustardBumbler/1_29/240903_1319",117927.7061,117930.0648,"mech_hum_traffic"
"JamesU - MustardBumbler/1_29/240903_1319",117931.825,117933.3036,"mech_hum_traffic"
"JamesU - MustardBumbler/1_29/240903_1319",117933.9131,117935.0396,"mech_hum_traffic"
"JamesU - MustardBumbler/1_29/240903_1319",117935.8845,117936.9231,"mech_hum_traffic"
"JamesU - MustardBumbler/1_29/240903_1319",117937.5391,117938.5953,"mech_hum_traffic"
"JamesU - MustardBumbler/1_29/240903_1319",117939.7894,117941.4793,"mech_hum_traffic"
"JamesU - MustardBumbler/1_29/240903_1319",117943.6075,117950.7717,"mech_hum_traffic"
"JamesU - MustardBumbler/1_29/240903_1319",117952.0627,117953.3301,"mech_hum_traffic"
"JamesU - MustardBumbler/1_29/240903_1319",117956.6041,117960,"mech_hum_traffic"
"JamesU - MustardBumbler/1_29/240903_1319",121260,121560,"ins_trill"
"JamesU - MustardBumbler/1_29/240903_1319",121310.7666,121327.6341,"mech_auto_car"
"JamesU - MustardBumbler/1_29/240903_1319",121418.1562,121424.0177,"mech_hum_traffic"
"JamesU - MustardBumbler/1_29/240903_1319",121430.4294,121437.84,"mech_hum_traffic"
"JamesU - MustardBumbler/1_29/240903_1319",121458.7006,121462.3971,"mech_auto_car"
"JamesU - MustardBumbler/1_29/240903_1319",38460,38760,"ins_trill"
"JamesU - MustardBumbler/1_29/240903_1319",38464.414,38466.8557,"ambient_wind"
"JamesU - MustardBumbler/1_29/240903_1319",38467.3304,38470.4774,"ambient_wind"
"JamesU - MustardBumbler/1_29/240903_1319",38472.3587,38474.4884,"ambient_wind"
"JamesU - MustardBumbler/1_29/240903_1319",38478.6971,38479.0572,"ambient_bang"
"JamesU - MustardBumbler/1_29/240903_1319",38488.9928,38489.2706,"mech_auto_beep"
"JamesU - MustardBumbler/1_29/240903_1319",38494.5691,38499.3167,"mech_auto_beep"
"JamesU - MustardBumbler/1_29/240903_1319",38504.2398,38505.013,"ambient_wind"
"JamesU - MustardBumbler/1_29/240903_1319",38507.1698,38508.1464,"ambient_wind"
"JamesU - MustardBumbler/1_29/240903_1319",38512.0482,38513.4725,"ambient_wind"
"JamesU - MustardBumbler/1_29/240903_1319",38515.1817,38516.8366,"ambient_wind"
"JamesU - MustardBumbler/1_29/240903_1319",38522.7098,38523.3202,"ambient_wind"
"JamesU - MustardBumbler/1_29/240903_1319",38539.7416,38540.2028,"mech_auto_beep"
"JamesU - MustardBumbler/1_29/240903_1319",38558.6664,38559.1442,"mech_auto_beep"
"JamesU - MustardBumbler/1_29/240903_1319",38559.6054,38560.0777,"mech_auto_beep"
