"ident","fold","role"
"JamesU - MustardBumbler/1_29/240903_1319","JamesU - MustardBumbler/1_29","rotate"
"Lily - Fit+Fast/2023_R3_Marysville/53/230808_1208","Lily - Fit+Fast/2023_R3_Marysville/53","rotate"
"Lily Adam - One Hive/recorders/willard/2024-08-07/1_11/240807_1016","Lily Adam - One Hive/recorders/willard/2024-08-07/1_11","rotate"
"Lily Adam - One Hive/recorders/wooster/2024-07-26/1_143/240726_1446","Lily Adam - One Hive/recorders/wooster/2024-07-26/1_143","rotate"
"Luke - Diel Drivers/2026-04-08/1_150/260408_1942","Luke - Diel Drivers/2026-04-08/1_150","rotate"
"Luke - Diel Drivers/2026-05-06/1_95/260506_1924","Luke - Diel Drivers/2026-05-06/1_95","rotate"
"Luke - Various Opportunistic Recordings/2025-06-23/1_23/250623_0857","Luke - Various Opportunistic Recordings/2025-06-23/1_23","rotate"
"Luke - Various Opportunistic Recordings/2025-07-03/1_37/250703_1635","Luke - Various Opportunistic Recordings/2025-07-03/1_37","rotate"
"Luke - Various Opportunistic Recordings/2025-08-05/31/250805_1247","Luke - Various Opportunistic Recordings/2025-08-05/31","rotate"
"Luke - Various Opportunistic Recordings/2025-08-12/1_114/250812_1225","Luke - Various Opportunistic Recordings/2025-08-12/1_114","rotate"
"Luke - Various Opportunistic Recordings/2025-08-27/48/250827_1828","Luke - Various Opportunistic Recordings/2025-08-27/48","rotate"
