"fold","duration_ beep_high","duration_ambient_background","duration_ambient_bang","duration_ambient_music","duration_ambient_rain","duration_ambient_rustle","duration_ambient_scraping","duration_ambient_wind","duration_animal_cow","duration_animal_dog","duration_animal_frog","duration_animal_squirrel","duration_animal_unknown","duration_beep_high","duration_honk","duration_human","duration_ins_buzz_high","duration_ins_buzz_low","duration_ins_buzz_medium","duration_ins_buzz_pollination","duration_ins_buzz_rasp","duration_ins_trill","duration_mech_auto","duration_mech_auto truck","duration_mech_auto_background","duration_mech_auto_beep","duration_mech_auto_bike","duration_mech_auto_car","duration_mech_auto_heavy","duration_mech_auto_train","duration_mech_auto_truck","duration_mech_beep","duration_mech_hum_auto","duration_mech_hum_lawnmower","duration_mech_hum_traffic","duration_mech_plane_helicopter","duration_mech_plane_jet","duration_mech_plane_prop","duration_mech_siren","duration_mech_train","duration_mech_weedwhack","duration_mowing","duration_wind_chime","duration_wind_chimes","occurences_ beep_high","occurences_ambient_background","occurences_ambient_bang","occurences_ambient_music","occurences_ambient_rain","occurences_ambient_rustle","occurences_ambient_scraping","occurences_ambient_wind","occurences_animal_cow","occurences_animal_dog","occurences_animal_frog","occurences_animal_squirrel","occurences_animal_unknown","occurences_beep_high","occurences_honk","occurences_human","occurences_ins_buzz_high","occurences_ins_buzz_low","occurences_ins_buzz_medium","occurences_ins_buzz_pollination","occurences_ins_buzz_rasp","occurences_ins_trill","occurences_mech_auto","occurences_mech_auto truck","occurences_mech_auto_background","occurences_mech_auto_beep","occurences_mech_auto_bike","occurences_mech_auto_car","occurences_mech_auto_heavy","occurences_mech_auto_train","occurences_mech_auto_truck","occurences_mech_beep","occurences_mech_hum_auto","occurences_mech_hum_lawnmower","occurences_mech_hum_traffic","occurences_mech_plane_helicopter","occurences_mech_plane_jet","occurences_mech_plane_prop","occurences_mech_siren","occurences_mech_train","occurences_mech_weedwhack","occurences_mowing","occurences_wind_chime","occurences_wind_chimes"
"Luke - Various Opportunistic Recordings/2025-06-23/1_23",1,184,2,0,0,0,5,0,0,0,0,0,0,14,0,12,0,0,27,0,0,0,0,0,0,0,0,0,1,0,0,41,0,0,0,0,26,0,0,0,0,0,0,0,1,729,9,0,0,0,4,0,0,0,0,0,0,4,0,64,0,0,144,0,0,0,0,0,0,0,0,0,1,0,0,25,0,0,0,0,4,0,0,0,0,0,0,0
"JamesU - MustardBumbler/1_29",0,201,0,126,0,0,0,17,1,22,0,0,0,0,0,0,7,0,2063,0,1,4233,19,0,176,5,29,105,0,0,88,0,69,0,123,0,418,516,0,0,0,0,0,0,0,12769,1,64,0,0,4,81,1,2304,0,0,0,0,0,0,16,0,124609,0,4,45796,4,0,1,36,16,256,0,0,16,0,16,0,441,0,16,36,0,0,0,0,0,0
"Lily - Fit+Fast/2023_R3_Marysville/53",0,1410,0,0,150,3,2,0,0,0,0,0,0,0,0,0,0,2,1146,0,0,1548,50,0,0,0,19,77,0,0,17,0,0,0,0,0,643,215,0,0,0,0,0,0,0,10816,0,0,121,4,4,0,0,0,0,0,0,0,0,0,1,1,24025,0,0,1936,25,0,0,0,1,36,0,0,9,0,0,0,0,0,121,16,0,0,0,0,0,0
"Lily Adam - One Hive/recorders/willard/2024-08-07/1_11",0,3110,1,0,0,44,64,0,0,0,0,0,0,0,0,8,87,48,56,0,0,922,163,0,0,0,0,0,0,12,84,0,0,0,0,0,9,49,0,6,0,0,0,0,0,78400,5041,0,0,144,3025,0,0,0,0,0,0,0,0,36,10000,1600,2601,0,0,289,49,0,0,0,0,0,0,9,169,0,0,0,0,0,1,4,0,4,0,0,0,0
"Lily Adam - One Hive/recorders/wooster/2024-07-26/1_143",0,2734,0,0,0,21,0,0,0,0,0,0,0,0,0,0,12,14,92,0,0,693,154,34,0,0,0,58,0,0,618,0,0,0,0,0,0,184,0,0,0,0,0,0,0,24336,0,0,0,9,0,0,0,0,0,0,0,0,0,0,121,289,8100,0,0,225,49,1,0,0,0,81,0,0,484,0,0,0,0,0,0,25,0,0,0,0,0,0
"Luke - Diel Drivers/2026-04-08/1_150",0,1959,7,0,0,11,0,72,0,0,0,0,0,0,0,3,0,0,66,0,0,0,0,0,0,0,0,513,0,0,137,0,0,0,0,0,170,58,2,28,0,0,0,0,0,714025,1764,0,0,324,0,2601,0,0,0,0,0,0,0,25,0,0,4096,0,0,0,0,0,0,0,0,4356,0,0,1600,0,0,0,0,0,100,121,1,361,0,0,0,0
"Luke - Diel Drivers/2026-05-06/1_95",0,1796,0,0,0,232,0,122,0,15,7,0,0,0,4,264,4,229,27,48,0,0,0,0,0,0,0,424,0,0,61,0,0,277,19,0,785,181,0,0,6,364,141,5,0,98596,0,0,0,8100,1,1225,0,100,49,0,0,0,9,26244,4,6724,169,1764,0,0,0,0,0,0,0,576,0,0,4,9,0,4,4,0,64,1,0,0,1,16,21025,1
"Luke - Various Opportunistic Recordings/2025-07-03/1_37",0,3455,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,235,0,0,0,0,0,0,0,0,14,0,0,9,0,0,0,0,65,667,97,0,0,0,0,0,0,0,19044,289,0,0,0,0,0,0,0,0,0,0,0,0,0,25,9,19881,0,0,0,0,0,0,0,0,25,0,0,1,0,0,0,0,1,100,4,0,0,0,0,0,0
"Luke - Various Opportunistic Recordings/2025-08-05/31",0,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,301,170,0,339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,5329,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Luke - Various Opportunistic Recordings/2025-08-27/48",0,155,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,274,0,0,926,0,0,0,189,0,126,0,0,9,0,0,0,25,0,164,85,0,0,0,0,0,0,0,256,256,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,361,0,0,25,0,0,0,900,0,9,0,0,4,0,0,0,25,0,9,4,0,0,0,0,0,0
"Luke - Various Opportunistic Recordings/2025-08-12/1_114",0,0,3,0,0,10,1,5,0,7,1,6,1,0,0,0,40,51,128,136,0,1200,0,0,0,0,0,145,0,0,38,0,0,0,847,0,230,0,0,0,0,0,0,0,0,0,9,0,0,4,1,9,0,49,1,4,1,0,0,0,484,1521,3481,5929,0,16,0,0,0,0,0,1089,0,0,1,0,0,0,9,0,49,0,0,0,0,0,0,0
