"label","JamesU - MustardBumbler_1_29","Lily - Fit+Fast_2023_R3_Marysville_53","Lily Adam - One Hive_recorders_willard_2024-08-07_1_11","Lily Adam - One Hive_recorders_wooster_2024-07-26_1_143","Luke - Diel Drivers_2026-04-08_1_150","Luke - Diel Drivers_2026-05-06_1_95","Luke - Various Opportunistic Recordings_2025-07-03_1_37","Luke - Various Opportunistic Recordings_2025-08-05_31","Luke - Various Opportunistic Recordings_2025-08-27_48"
"ambient_background",179,1410,3110,2734,911,219,3455,0,155
"ambient_bang",0,0,1,0,1,0,2,0,11
"ambient_music",126,0,0,0,0,0,0,0,0
"ambient_rain",0,150,0,0,0,0,0,0,0
"ambient_rustle",0,3,44,21,6,33,0,0,0
"ambient_scraping",0,2,64,0,0,0,0,0,0
"ambient_wind",0,0,0,0,28,0,0,0,0
"animal_dog",22,0,0,0,0,1,0,0,0
"animal_frog",0,0,0,0,0,0,0,0,300
"human",0,0,8,0,3,0,0,0,1
"ins_buzz_high",8,0,87,12,0,0,3,0,0
"ins_buzz_low",0,2,48,14,0,0,5,0,0
"ins_buzz_medium",2375,1146,56,92,45,23,235,300,274
"ins_buzz_pollination",0,0,0,0,0,0,0,169,0
"ins_buzz_rasp",1,0,0,0,0,0,0,0,0
"ins_trill",4018,1548,922,693,0,0,0,300,926
"mech_auto",42,50,163,154,0,0,0,0,0
"mech_auto truck",0,0,0,34,0,0,0,0,0
"mech_auto_background",176,0,0,0,0,0,0,0,0
"mech_auto_beep",0,0,0,0,0,0,0,0,189
"mech_auto_bike",29,19,0,0,0,0,0,0,0
"mech_auto_car",88,77,0,58,443,81,14,0,126
"mech_auto_train",0,0,12,0,0,0,0,0,0
"mech_auto_truck",88,17,84,618,78,0,9,0,9
"mech_hum_auto",69,0,0,0,0,0,0,0,0
"mech_hum_lawnmower",0,0,0,0,0,277,0,0,0
"mech_hum_traffic",60,0,0,0,0,0,0,0,25
"mech_plane_helicopter",0,0,0,0,0,0,65,0,0
"mech_plane_jet",0,643,9,0,123,474,667,0,164
"mech_plane_prop",453,215,49,184,5,181,97,49,85
"mech_siren",0,0,0,0,2,0,0,0,0
"mech_train",0,0,6,0,20,0,0,0,0
