"from","to"
"EXCLUDE","EXCLUDE"
"ambient_background","nonbuzz"
"ambient_bang","nonbuzz"
"ambient_music","nonbuzz"
"ambient_noise","nonbuzz"
"ambient_rain","nonbuzz"
"ambient_ringing","nonbuzz"
"ambient_rustle","nonbuzz"
"ambient_scraping","nonbuzz"
"ambient_thunder","nonbuzz"
"ambient_wind","nonbuzz"
"animal_bird_crow","nonbuzz"
"animal_bird_goose","nonbuzz"
"animal_cow","nonbuzz"
"animal_dog","nonbuzz"
"animal_frog","nonbuzz"
"animal_frog_pickerel","nonbuzz"
"animal_frog_tree","nonbuzz"
"animal_squirrel","nonbuzz"
"animal_unknown","nonbuzz"
"human","nonbuzz"
"ins_buzz","ins_buzz"
"ins_buzz_Bombus","ins_buzz"
"ins_buzz_Episyrphus","ins_buzz"
"ins_buzz_Halyomorpha","ins_buzz"
"ins_buzz_Nezara","ins_buzz"
"ins_buzz_RECLASSIFY","ins_buzz"
"ins_buzz_high","ins_buzz"
"ins_buzz_low","ins_buzz"
"ins_buzz_medium","ins_buzz"
"ins_buzz_pollination","ins_buzz"
"ins_buzz_rasp","ins_buzz"
"ins_trill","nonbuzz"
"mech_ac","nonbuzz"
"mech_auto","nonbuzz"
"mech_auto_RECLASSIFY","nonbuzz"
"mech_auto_background","nonbuzz"
"mech_auto_car","nonbuzz"
"mech_auto_hum","nonbuzz"
"mech_auto_motorcycle","nonbuzz"
"mech_auto_truck","nonbuzz"
"mech_auto_unknown","nonbuzz"
"mech_beep","nonbuzz"
"mech_chainsaw","nonbuzz"
"mech_combine","nonbuzz"
"mech_drone","nonbuzz"
"mech_hum_RECLASSIFY","nonbuzz"
"mech_hum_construction","nonbuzz"
"mech_hum_traffic","nonbuzz"
"mech_lawnmower","nonbuzz"
"mech_plane_helicopter","nonbuzz"
"mech_plane_jet","nonbuzz"
"mech_plane_prop","nonbuzz"
"mech_siren","nonbuzz"
"mech_train","nonbuzz"
"mech_weedwhacker","nonbuzz"
"static","nonbuzz"
