"from","to"
"EXCLUDE","EXCLUDE"
"ambient_background","ambient_background"
"ambient_bang","ambient_noise"
"ambient_music","ambient_music"
"ambient_noise","ambient_noise"
"ambient_rain","ambient_rain"
"ambient_ringing","ambient_music"
"ambient_rustle","ambient_noise"
"ambient_scraping","ambient_noise"
"ambient_thunder","ambient_thunder"
"ambient_wind","ambient_noise"
"animal_bird_crow","animal"
"animal_bird_goose","animal"
"animal_cow","animal"
"animal_dog","animal"
"animal_frog","animal"
"animal_frog_pickerel","animal"
"animal_frog_tree","animal"
"animal_squirrel","animal"
"animal_unknown","animal"
"human","human"
"ins_buzz","ins_buzz"
"ins_buzz_Bombus","ins_buzz"
"ins_buzz_Episyrphus","ins_buzz"
"ins_buzz_Halyomorpha","ins_buzz"
"ins_buzz_Nezara","ins_buzz"
"ins_buzz_RECLASSIFY","ins_buzz"
"ins_buzz_high","ins_buzz"
"ins_buzz_low","ins_buzz"
"ins_buzz_medium","ins_buzz"
"ins_buzz_pollination","ins_buzz"
"ins_buzz_rasp","ins_buzz"
"ins_trill","ins_trill"
"mech_ac","mech_tool"
"mech_auto","mech_auto"
"mech_auto_RECLASSIFY","mech_auto"
"mech_auto_background","mech_auto"
"mech_auto_car","mech_auto"
"mech_auto_hum","mech_auto"
"mech_auto_motorcycle","mech_auto"
"mech_auto_truck","mech_auto"
"mech_auto_unknown","mech_auto"
"mech_beep","mech_beep"
"mech_chainsaw","mech_tool"
"mech_combine","mech_auto"
"mech_drone","ignore"
"mech_hum_RECLASSIFY","mech_hum"
"mech_hum_traffic","mech_hum"
"mech_lawnmower","mech_tool"
"mech_plane_helicopter","mech_auto"
"mech_plane_jet","mech_auto"
"mech_plane_prop","mech_auto"
"mech_siren","mech_auto"
"mech_train","mech_auto"
"mech_weedwhacker","mech_tool"
"static","static"
