"source","ident","fold","role"
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319","JamesU - MustardBumbler/1_29","rotate"
"Even Sample","Lily - Fit+Fast/2023_R3_Marysville/53/230808_1208","Lily - Fit+Fast/2023_R3_Marysville/53","rotate"
"Even Sample","Lily Adam - One Hive/recorders/willard/2024-08-07/1_11/240807_1016","Lily Adam - One Hive/recorders/willard/2024-08-07/1_11","rotate"
"Even Sample","Lily Adam - One Hive/recorders/wooster/2024-07-26/1_143/240726_1446","Lily Adam - One Hive/recorders/wooster/2024-07-26/1_143","rotate"
"Even Sample","Luke - Diel Drivers/2026-04-08/1_150/260408_1942","Luke - Diel Drivers/2026-04-08/1_150","rotate"
"Even Sample","Luke - Diel Drivers/2026-05-06/1_95/260506_1924","Luke - Diel Drivers/2026-05-06/1_95","rotate"
"Even Sample","Luke - Various Opportunistic Recordings/2025-06-23/1_23/250623_0857","Luke - Various Opportunistic Recordings/2025-06-23/1_23","rotate"
"Even Sample","Luke - Various Opportunistic Recordings/2025-07-03/1_37/250703_1635","Luke - Various Opportunistic Recordings/2025-07-03/1_37","rotate"
"Even Sample","Luke - Various Opportunistic Recordings/2025-08-05/31/250805_1247","Luke - Various Opportunistic Recordings/2025-08-05/31","rotate"
"Even Sample","Luke - Various Opportunistic Recordings/2025-08-12/1_114/250812_1225","Luke - Various Opportunistic Recordings/2025-08-12/1_114","rotate"
"Even Sample","Luke - Various Opportunistic Recordings/2025-08-27/48/250827_1828","Luke - Various Opportunistic Recordings/2025-08-27/48","rotate"
