"label","JamesU - MustardBumbler/1_29","Lily - Fit+Fast/2023_R3_Marysville/53","Lily Adam - One Hive/recorders/willard/2024-08-07/1_11","Lily Adam - One Hive/recorders/wooster/2024-07-26/1_143","Luke - Diel Drivers/2026-04-08/1_150","Luke - Diel Drivers/2026-05-06/1_95","Luke - Various Opportunistic Recordings/2025-06-23/1_23","Luke - Various Opportunistic Recordings/2025-07-03/1_37","Luke - Various Opportunistic Recordings/2025-08-05/31","Luke - Various Opportunistic Recordings/2025-08-12/1_114","Luke - Various Opportunistic Recordings/2025-08-27/48"
" beep_high",0,0,0,0,0,0,1,0,0,0,0
"ambient_background",2,217,228,203,80,125,11,418,259,0,56
"ambient_music",10,0,0,0,0,0,0,0,0,0,0
"ambient_noise",0,5,0,21,1,1,5,0,0,4,2
"ambient_rain",0,69,0,0,0,0,0,0,0,0,0
"ambient_wind",8,0,0,0,2,7,0,0,0,5,0
"animal_cow",1,0,0,0,0,0,0,0,0,0,0
"animal_dog",3,0,0,0,0,6,0,0,0,4,0
"animal_frog",0,0,0,0,0,4,0,0,0,1,0
"animal_squirrel",0,0,0,0,0,0,0,0,0,6,0
"animal_unknown",0,0,0,0,0,0,0,0,0,1,0
"beep_high",0,0,0,0,0,0,14,0,0,0,0
"honk",0,0,0,0,0,4,0,0,0,0,0
"human",0,0,6,0,2,3,4,0,0,0,1
"ins_buzz",19,5,11,3,3,10,16,12,304,4,28
"ins_trill",600,604,260,151,0,0,0,0,339,1200,911
"mech_auto",5,76,36,100,5,92,1,20,0,27,133
"mech_beep",0,0,0,0,0,0,19,0,0,0,0
"mech_hum",82,0,0,0,0,296,0,0,0,847,22
"mech_plane",300,285,58,159,50,209,26,178,49,31,197
"mech_train",0,0,6,0,5,0,0,0,0,0,0
"mech_weedwhack",0,0,0,0,0,6,0,0,0,0,0
"mowing",0,0,0,0,0,364,0,0,0,0,0
"wind_chime",0,0,0,0,0,1,0,0,0,0,0
"wind_chimes",0,0,0,0,0,5,0,0,0,0,0
