"source","ident","start","end","label","duration","item"
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",103260,103560.004,"ins_trill",300.004000000001,1
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",103274.3931,103275.1315,"ins_buzz",0.738400000002002,2
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",103285.0665,103285.5805,"ins_buzz",0.513999999995576,3
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",103288.2909,103289.2816,"ins_buzz",0.990699999994831,4
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",103298.2259,103299.1325,"ins_buzz",0.906600000002072,5
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",103334.2649,103334.7509,"ins_buzz",0.486000000004424,6
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",103349.9104,103350.7796,"ins_buzz",0.869200000001001,7
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",103352.5087,103354.2284,"ins_buzz",1.71970000000147,8
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",103355.3966,103357.1911,"ins_buzz",1.79450000000361,9
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",103358.2659,103359.4716,"ins_buzz",1.20570000000589,10
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",103360.088,103360.593,"ins_buzz",0.504999999990105,11
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",103361.191,103361.621,"ins_buzz",0.429999999993015,12
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",103391.566,103395.847,"ins_buzz",4.28099999998813,13
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",103395.847,103399.249,"ins_buzz",3.40200000000186,14
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",103399.249,103400.38,"ins_buzz",1.1310000000085,15
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",103412.212,103416.867,"ins_buzz",4.65499999999884,16
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",103449.803,103450.513,"ins_buzz",0.710000000006403,17
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",103465.093,103481.315,"mech_auto",16.2220000000088,18
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",103485.433,103486.8,"ins_buzz",1.36699999999837,19
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",103509.613,103510.307,"ins_buzz",0.694000000003143,20
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",103518.991,103520.061,"ins_buzz",1.07000000000698,21
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",103535.38,103536.616,"ins_buzz",1.23599999998987,22
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",106860,107160.03,"ins_trill",300.029999999999,23
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",106889.0106,106990.059,"mech_plane",101.0484,24
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",107049.396,107050.254,"ins_buzz",0.858000000007451,25
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",107075.648,107078.081,"ins_buzz",2.43300000000454,26
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",107079.451,107082.295,"ins_buzz",2.84399999999732,27
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",107135.197,107136.386,"ins_buzz",1.18899999999849,28
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",107139.003,107140.517,"ins_buzz",1.51400000001013,29
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",107143.059,107143.931,"ins_buzz",0.872000000003027,30
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",107144.174,107144.561,"ins_buzz",0.387000000002445,31
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",107156.408,107157.111,"ins_buzz",0.703000000008615,32
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",110460,110760.004,"ins_trill",300.004000000001,33
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",110743.537,110755.016,"mech_auto",11.4790000000066,34
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",114060,114360,"ins_trill",300,35
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",114060.555,114069.3158,"ambient_music",8.76080000000366,36
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",114070.3729,114070.6391,"ambient_music",0.266199999998207,37
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",114072.3575,114072.6232,"ambient_music",0.265700000003562,38
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",114076.6536,114077.8238,"ambient_music",1.1701999999932,39
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",114080.8714,114088.9928,"ambient_music",8.12140000000363,40
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",114092.5382,114094.0924,"ambient_music",1.55419999999867,41
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",114106.8921,114119.3679,"mech_auto",12.4758000000002,42
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",114124.5391,114128.5148,"mech_auto",3.97570000000997,43
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",114191.009,114243.1717,"ambient_music",52.1627000000008,44
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",114259.9284,114314.2528,"ambient_music",54.3243999999977,45
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",114327.9526,114335.2894,"mech_auto",7.33679999999003,46
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",117660,117960,"ins_trill",300,47
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",117660,117660.6086,"animal_dog",0.608600000006845,48
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",117661.7384,117662.9072,"animal_dog",1.16879999999946,49
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",117663.915,117664.5772,"animal_dog",0.662200000006123,50
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",117674.0466,117674.2267,"animal_dog",0.180099999997765,51
