"label","2025-06-04 original annotations_train","2025-06-04 original annotations_validate","Even Sample_JamesU - MustardBumbler_1_29","Even Sample_Lily - Fit+Fast_2023_R3_Marysville_53","Even Sample_Lily Adam - One Hive_recorders_willard_2024-08-07_1_11","Even Sample_Lily Adam - One Hive_recorders_wooster_2024-07-26_1_143","Even Sample_Luke - Diel Drivers_2026-04-08_1_150","Even Sample_Luke - Diel Drivers_2026-05-06_1_95","Even Sample_Luke - Various Opportunistic Recordings_2025-07-03_1_37","Even Sample_Luke - Various Opportunistic Recordings_2025-08-05_31","Even Sample_Luke - Various Opportunistic Recordings_2025-08-27_48"
"ambient_background",2549,2804,179,1410,3110,2734,911,219,3455,0,155
"ambient_music",159,0,126,0,0,0,0,0,0,0,0
"ambient_noise",312,777,0,5,109,21,7,33,2,0,11
"ambient_rain",366,775,0,150,0,0,0,0,0,0,0
"ambient_wind",0,0,0,0,0,0,28,0,0,0,0
"animal_dog",0,0,22,0,0,0,0,1,0,0,0
"animal_frog",220,63,0,0,0,0,0,0,0,0,300
"human",43,626,0,0,8,0,3,0,0,0,1
"ins_buzz",1142,1361,2384,1148,191,118,45,23,243,469,274
"ins_trill",716,1192,4018,1548,922,693,0,0,0,300,926
"mech_auto",1794,1730,423,163,259,864,523,81,23,0,324
"mech_combine",1375,325,0,0,0,0,0,0,0,0,0
"mech_drone",0,6,0,0,0,0,0,0,0,0,0
"mech_hum",736,540,129,0,0,0,0,277,0,0,25
"mech_plane",2527,1919,453,858,58,184,128,655,829,49,249
"mech_train",8,88,0,0,6,0,20,0,0,0,0
