"fold","volume"
"2025-06-04 original annotations_train",11947
"2025-06-04 original annotations_validate",12206
"Even Sample_JamesU - MustardBumbler_1_29",7734
"Even Sample_Lily - Fit+Fast_2023_R3_Marysville_53",5282
"Even Sample_Lily Adam - One Hive_recorders_willard_2024-08-07_1_11",4663
"Even Sample_Lily Adam - One Hive_recorders_wooster_2024-07-26_1_143",4614
"Even Sample_Luke - Diel Drivers_2026-04-08_1_150",1665
"Even Sample_Luke - Diel Drivers_2026-05-06_1_95",1289
"Even Sample_Luke - Various Opportunistic Recordings_2025-07-03_1_37",4552
"Even Sample_Luke - Various Opportunistic Recordings_2025-08-05_31",818
"Even Sample_Luke - Various Opportunistic Recordings_2025-08-27_48",2265
