"from","to"
"","nonbuzz"
"ambient_background","nonbuzz"
"ambient_music","nonbuzz"
"ambient_noise","nonbuzz"
"ambient_rain","nonbuzz"
"ambient_ringing","nonbuzz"
"ambient_thunder","nonbuzz"
"animal","nonbuzz"
"human","nonbuzz"
"ins_buzz_RECLASSIFY","ins_buzz"
"ins_buzz_high","ins_buzz"
"ins_buzz_high_loud","ins_buzz"
"ins_buzz_high_quiet","ins_buzz"
"ins_buzz_low","ins_buzz"
"ins_buzz_low_loud","ins_buzz"
"ins_buzz_low_quiet","ins_buzz"
"ins_buzz_medium","ins_buzz"
"ins_buzz_medium_background","ins_buzz"
"ins_buzz_medium_faint","ins_buzz"
"ins_buzz_medium_loud","ins_buzz"
"ins_buzz_medium_quiet","ins_buzz"
"ins_buzz_pollination","ins_buzz"
"ins_buzz_pollination_faint","ins_buzz"
"ins_buzz_rasp","ins_buzz"
"ins_trill","nonbuzz"
"mech_auto","nonbuzz"
"mech_hum","nonbuzz"
"mech_machinery","nonbuzz"
"mech_plane","nonbuzz"
