"from","to"
"",""
"ambient_background","ambient_background"
"ambient_music","ambient_music"
"ambient_noise","ambient_noise"
"ambient_rain","ambient_rain"
"ambient_thunder","ambient_thunder"
"animal","animal"
"human","human"
"ins_buzz_RECLASSIFY","ins_buzz"
"ins_buzz_high","ins_buzz"
"ins_buzz_high_loud","ins_buzz"
"ins_buzz_high_quiet","ins_buzz"
"ins_buzz_low","ins_buzz"
"ins_buzz_low_loud","ins_buzz"
"ins_buzz_low_quiet","ins_buzz"
"ins_buzz_medium","ins_buzz"
"ins_buzz_medium_background","ins_buzz"
"ins_buzz_medium_faint","ins_buzz"
"ins_buzz_medium_loud","ins_buzz"
"ins_buzz_medium_quiet","ins_buzz"
"ins_buzz_pollination","ins_buzz"
"ins_buzz_pollination_faint","ins_buzz"
"ins_buzz_rasp","ins_buzz"
"ins_trill","ins_trill"
"mech_auto","mech_auto"
"mech_hum","mech_hum"
"mech_machinery","mech_machinery"
"mech_plane","mech_plane"
