"source","ident","fold"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01","validate"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220715_1123","validate"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/2/220713_0943","validate"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/2/220715_1125","validate"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/3/220713_0944","validate"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/3/220715_1127","validate"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/4/220713_0946","validate"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/4/220715_1128","validate"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/5/220713_0947","validate"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/5/220715_1130","validate"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/6/220713_0948","validate"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/6/220715_1131","validate"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/7/220713_0951","validate"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/7/220715_1134","validate"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/8/220713_0953","train"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/8/220715_1135","validate"
"2025-06-04 original annotations","Chia - OSPT/2022/2022-07-26/10/220726_1209","validate"
"2025-06-04 original annotations","Chia - OSPT/2022/2022-07-26/14/220726_1202","validate"
"2025-06-04 original annotations","Chia - OSPT/2022/2022-07-26/15/220728_1403","validate"
"2025-06-04 original annotations","Chia - OSPT/2022/2022-07-26/17/220725_1311","validate"
"2025-06-04 original annotations","Chia - OSPT/2022/2022-07-26/18/220725_1319","validate"
"2025-06-04 original annotations","Chia - OSPT/2022/2022-07-26/18/220727_1501","validate"
"2025-06-04 original annotations","Chia - OSPT/2022/2022-07-26/23/220727_1453","validate"
"2025-06-04 original annotations","Chia - OSPT/2022/2022-07-26/25/220725_1324","validate"
"2025-06-04 original annotations","Chia - OSPT/2022/2022-07-26/25/220727_1507","validate"
"2025-06-04 original annotations","Chia - OSPT/2022/2022-07-26/29/220725_1321","validate"
"2025-06-04 original annotations","Chia - OSPT/2022/2022-08-02/11/220802_1058","train"
"2025-06-04 original annotations","Chia - OSPT/2022/2022-08-02/13/220802_1108","train"
"2025-06-04 original annotations","Chia - OSPT/2022/2022-08-02/13/220806_1432","train"
"2025-06-04 original annotations","Chia - OSPT/2022/2022-08-02/20/220802_1056","train"
"2025-06-04 original annotations","Chia - OSPT/2022/2022-08-02/22/220804_1241","train"
"2025-06-04 original annotations","Chia - OSPT/2022/2022-08-02/23/220802_1047","train"
"2025-06-04 original annotations","Chia - OSPT/2022/2022-08-02/29/220802_1102","train"
"2025-06-04 original annotations","Chia - OSPT/2022/2022-08-02/29/220804_1244","train"
"2025-06-04 original annotations","Chia - OSPT/2022/2022-08-02/32/220804_1227","train"
"2025-06-04 original annotations","Chia_Lin - Soybean on-farm spray audios/2023-07-25 Combs Sabine-Bigelow/14/230725_1202","validate"
"2025-06-04 original annotations","Chia_Lin - Soybean on-farm spray audios/2023-07-25 Combs Sabine-Bigelow/14/230727_1344","validate"
"2025-06-04 original annotations","Chia_Lin - Soybean on-farm spray audios/2023-07-25 Combs Sabine-Bigelow/14/230730_1621","validate"
"2025-06-04 original annotations","Chia_Lin - Soybean on-farm spray audios/2023-07-25 Combs Sabine-Bigelow/14/230801_1803","validate"
"2025-06-04 original annotations","Chia_Lin - Soybean on-farm spray audios/2023-07-25 Combs Sabine-Bigelow/23/230725_1159","train"
"2025-06-04 original annotations","Chia_Lin - Soybean on-farm spray audios/2023-07-25 Combs Sabine-Bigelow/23/230727_1341","validate"
"2025-06-04 original annotations","Chia_Lin - Soybean on-farm spray audios/2023-07-25 Combs Sabine-Bigelow/23/230730_1624","validate"
"2025-06-04 original annotations","Chia_Lin - Soybean on-farm spray audios/2023-07-25 Combs Sabine-Bigelow/23/230801_1806","validate"
"2025-06-04 original annotations","Chia_Lin - Soybean on-farm spray audios/2023-07-30 FSR/29/230730_1704","train"
"2025-06-04 original annotations","Chia_Lin - Soybean on-farm spray audios/2023-07-30 FSR/29/230801_1846","train"
