"label","train","validate","NA"
"ambient_background",12261,2804,322
"ambient_bang",30,30,0
"ambient_hum_traffic",46,NA,NA
"ambient_music",159,NA,NA
"ambient_rain",366,698,NA
"ambient_rustle",553,194,NA
"ambient_scrape",1,NA,NA
"ambient_scraping",162,553,3
"ambient_squeak",225,NA,NA
"animal_bird_goose",31,NA,NA
"animal_dog",1,NA,NA
"animal_frog_pickerel",134,NA,NA
"animal_frog_tree",179,63,NA
"human",333,626,NA
"ins_buzz_RECLASSIFY",2,9,NA
"ins_buzz_bee",519,950,NA
"ins_buzz_high",89,109,NA
"ins_buzz_low",596,293,NA
"ins_cicada",216,397,NA
"ins_trill",10423,795,NA
"mech_auto",49,NA,NA
"mech_auto_bike",136,55,NA
"mech_auto_car",990,729,NA
"mech_auto_hum",5,NA,NA
"mech_auto_truck",1598,946,NA
"mech_combine",1375,325,NA
"mech_hum_RECLASSIFY",300,47,NA
"mech_hum_auto",7,49,NA
"mech_hum_lawnmower",300,107,NA
"mech_hum_traffic",8029,182,NA
"mech_plane_helicopter",72,NA,NA
"mech_plane_jet",858,400,NA
"mech_plane_prop",4601,1519,NA
"mech_siren",173,NA,NA
"mech_train",8,88,NA
"ambient_thunder",NA,77,NA
"mech_drone",NA,6,NA
"mech_hum_chainsaw",NA,155,NA
"ambient_noise",NA,NA,581
"ins_buzz",NA,NA,22
"ins_buzz_Bombus",NA,NA,6
"ins_buzz_Coccinella",NA,NA,2
"ins_buzz_Coccinella_strange",NA,NA,4
"ins_buzz_Episyrphus",NA,NA,162
"ins_buzz_Halyomorpha",NA,NA,3
"ins_buzz_Nezara",NA,NA,3
"ins_buzz_Nezara_strange",NA,NA,8
"ins_buzz_strange",NA,NA,3
"static",NA,NA,12
