"from","to"
"ambient_background","ambient_background"
"ambient_bang","ambient_noise"
"ambient_rain","ambient_rain"
"ambient_rustle","ambient_noise"
"ambient_scraping","ambient_noise"
"ambient_thunder","ambient_thunder"
"ambient_wind","ambient_noise"
"animal_frog_tree","animal"
"human","human"
"ins_buzz_high","ins_buzz"
"ins_buzz_low","ins_buzz"
"ins_buzz_medium","ins_buzz"
"ins_trill","ins_trill"
"mech_auto_background","mech_auto"
"mech_auto_car","mech_auto"
"mech_auto_motorcycle","mech_auto"
"mech_auto_truck","mech_auto"
"mech_chainsaw","mech_tool"
"mech_hum_traffic","mech_hum"
"mech_lawnmower","mech_tool"
"mech_plane_jet","mech_auto"
"mech_plane_prop","mech_auto"
