"from","to"
"ambient_background","nonbuzz"
"ambient_bang","nonbuzz"
"ambient_rain","nonbuzz"
"ambient_rustle","nonbuzz"
"ambient_scraping","nonbuzz"
"ambient_thunder","nonbuzz"
"ambient_wind","nonbuzz"
"animal_frog_tree","nonbuzz"
"human","nonbuzz"
"ins_buzz_high","ins_buzz"
"ins_buzz_low","ins_buzz"
"ins_buzz_medium","ins_buzz"
"ins_trill","nonbuzz"
"mech_auto_background","nonbuzz"
"mech_auto_car","nonbuzz"
"mech_auto_motorcycle","nonbuzz"
"mech_auto_truck","nonbuzz"
"mech_chainsaw","nonbuzz"
"mech_hum_traffic","nonbuzz"
"mech_lawnmower","nonbuzz"
"mech_plane_jet","nonbuzz"
"mech_plane_prop","nonbuzz"
