"source","ident","fold","role"
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319","JamesU - MustardBumbler/1_29","rotate"
"Even Sample","Lily - Fit+Fast/2023_R3_Marysville/53/230808_1208","Lily - Fit+Fast/2023_R3_Marysville/53","rotate"
"Even Sample","Lily Adam - One Hive/recorders/willard/2024-08-07/1_11/240807_1016","Lily Adam - One Hive/recorders/willard/2024-08-07/1_11","rotate"
"Even Sample","Lily Adam - One Hive/recorders/wooster/2024-07-26/1_143/240726_1446","Lily Adam - One Hive/recorders/wooster/2024-07-26/1_143","rotate"
"Even Sample","Luke - Diel Drivers/2026-04-08/1_150/260408_1942","Luke - Diel Drivers/2026-04-08/1_150","rotate"
"Even Sample","Luke - Diel Drivers/2026-05-06/1_95/260506_1924","Luke - Diel Drivers/2026-05-06/1_95","rotate"
"Even Sample","Luke - Various Opportunistic Recordings/2025-06-23/1_23/250623_0857","Luke - Various Opportunistic Recordings/2025-06-23/1_23","rotate"
"Even Sample","Luke - Various Opportunistic Recordings/2025-07-03/1_37/250703_1635","Luke - Various Opportunistic Recordings/2025-07-03/1_37","rotate"
"Even Sample","Luke - Various Opportunistic Recordings/2025-08-05/31/250805_1247","Luke - Various Opportunistic Recordings/2025-08-05/31","rotate"
"Even Sample","Luke - Various Opportunistic Recordings/2025-08-12/1_114/250812_1225","Luke - Various Opportunistic Recordings/2025-08-12/1_114","rotate"
"Even Sample","Luke - Various Opportunistic Recordings/2025-08-27/48/250827_1828","Luke - Various Opportunistic Recordings/2025-08-27/48","rotate"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220713_0941_01","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1","train"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1/220715_1123","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1","train"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/2/220713_0943","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/2","train"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/2/220715_1125","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/2","train"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/3/220713_0944","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/3","train"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/3/220715_1127","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/3","train"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/4/220713_0946","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/4","train"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/4/220715_1128","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/4","train"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/5/220713_0947","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/5","train"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/5/220715_1130","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/5","train"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/6/220713_0948","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/6","train"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/6/220715_1131","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/6","train"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/7/220713_0951","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/7","train"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/7/220715_1134","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/7","train"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/8/220713_0953","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/8","train"
"2025-06-04 original annotations","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/8/220715_1135","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/8","train"
"2025-06-04 original annotations","Chia - OSPT/2022/2022-07-26/10/220726_1209","Chia - OSPT/2022/2022-07-26/10","train"
"2025-06-04 original annotations","Chia - OSPT/2022/2022-07-26/14/220726_1202","Chia - OSPT/2022/2022-07-26/14","train"
"2025-06-04 original annotations","Chia - OSPT/2022/2022-07-26/15/220728_1403","Chia - OSPT/2022/2022-07-26/15","train"
"2025-06-04 original annotations","Chia - OSPT/2022/2022-07-26/17/220725_1311","Chia - OSPT/2022/2022-07-26/17","train"
"2025-06-04 original annotations","Chia - OSPT/2022/2022-07-26/18/220725_1319","Chia - OSPT/2022/2022-07-26/18","train"
"2025-06-04 original annotations","Chia - OSPT/2022/2022-07-26/18/220727_1501","Chia - OSPT/2022/2022-07-26/18","train"
"2025-06-04 original annotations","Chia - OSPT/2022/2022-07-26/23/220727_1453","Chia - OSPT/2022/2022-07-26/23","train"
"2025-06-04 original annotations","Chia - OSPT/2022/2022-07-26/25/220725_1324","Chia - OSPT/2022/2022-07-26/25","train"
"2025-06-04 original annotations","Chia - OSPT/2022/2022-07-26/25/220727_1507","Chia - OSPT/2022/2022-07-26/25","train"
"2025-06-04 original annotations","Chia - OSPT/2022/2022-07-26/29/220725_1321","Chia - OSPT/2022/2022-07-26/29","train"
"2025-06-04 original annotations","Chia - OSPT/2022/2022-08-02/11/220802_1058","Chia - OSPT/2022/2022-08-02/11","train"
"2025-06-04 original annotations","Chia - OSPT/2022/2022-08-02/13/220802_1108","Chia - OSPT/2022/2022-08-02/13","train"
"2025-06-04 original annotations","Chia - OSPT/2022/2022-08-02/13/220806_1432","Chia - OSPT/2022/2022-08-02/13","train"
"2025-06-04 original annotations","Chia - OSPT/2022/2022-08-02/20/220802_1056","Chia - OSPT/2022/2022-08-02/20","train"
"2025-06-04 original annotations","Chia - OSPT/2022/2022-08-02/22/220804_1241","Chia - OSPT/2022/2022-08-02/22","train"
"2025-06-04 original annotations","Chia - OSPT/2022/2022-08-02/23/220802_1047","Chia - OSPT/2022/2022-08-02/23","train"
"2025-06-04 original annotations","Chia - OSPT/2022/2022-08-02/29/220802_1102","Chia - OSPT/2022/2022-08-02/29","train"
"2025-06-04 original annotations","Chia - OSPT/2022/2022-08-02/29/220804_1244","Chia - OSPT/2022/2022-08-02/29","train"
"2025-06-04 original annotations","Chia - OSPT/2022/2022-08-02/32/220804_1227","Chia - OSPT/2022/2022-08-02/32","train"
"2025-06-04 original annotations","Chia_Lin - Soybean on-farm spray audios/2023-07-25 Combs Sabine-Bigelow/14/230725_1202","Chia_Lin - Soybean on-farm spray audios/2023-07-25 Combs Sabine-Bigelow/14","train"
"2025-06-04 original annotations","Chia_Lin - Soybean on-farm spray audios/2023-07-25 Combs Sabine-Bigelow/14/230727_1344","Chia_Lin - Soybean on-farm spray audios/2023-07-25 Combs Sabine-Bigelow/14","train"
"2025-06-04 original annotations","Chia_Lin - Soybean on-farm spray audios/2023-07-25 Combs Sabine-Bigelow/14/230730_1621","Chia_Lin - Soybean on-farm spray audios/2023-07-25 Combs Sabine-Bigelow/14","train"
"2025-06-04 original annotations","Chia_Lin - Soybean on-farm spray audios/2023-07-25 Combs Sabine-Bigelow/14/230801_1803","Chia_Lin - Soybean on-farm spray audios/2023-07-25 Combs Sabine-Bigelow/14","train"
"2025-06-04 original annotations","Chia_Lin - Soybean on-farm spray audios/2023-07-25 Combs Sabine-Bigelow/23/230725_1159","Chia_Lin - Soybean on-farm spray audios/2023-07-25 Combs Sabine-Bigelow/23","train"
"2025-06-04 original annotations","Chia_Lin - Soybean on-farm spray audios/2023-07-25 Combs Sabine-Bigelow/23/230727_1341","Chia_Lin - Soybean on-farm spray audios/2023-07-25 Combs Sabine-Bigelow/23","train"
"2025-06-04 original annotations","Chia_Lin - Soybean on-farm spray audios/2023-07-25 Combs Sabine-Bigelow/23/230730_1624","Chia_Lin - Soybean on-farm spray audios/2023-07-25 Combs Sabine-Bigelow/23","train"
"2025-06-04 original annotations","Chia_Lin - Soybean on-farm spray audios/2023-07-25 Combs Sabine-Bigelow/23/230801_1806","Chia_Lin - Soybean on-farm spray audios/2023-07-25 Combs Sabine-Bigelow/23","train"
"2025-06-04 original annotations","Chia_Lin - Soybean on-farm spray audios/2023-07-30 FSR/29/230730_1704","Chia_Lin - Soybean on-farm spray audios/2023-07-30 FSR/29","train"
"2025-06-04 original annotations","Chia_Lin - Soybean on-farm spray audios/2023-07-30 FSR/29/230801_1846","Chia_Lin - Soybean on-farm spray audios/2023-07-30 FSR/29","train"
"2025-06-04 original annotations","Chia_Lin - Soybean on-farm spray audios/2023-07-30 FSR/3/230730_1704","Chia_Lin - Soybean on-farm spray audios/2023-07-30 FSR/3","train"
"2025-06-04 original annotations","Chia_Lin - Soybean on-farm spray audios/2023-07-30 FSR/3/230801_1847","Chia_Lin - Soybean on-farm spray audios/2023-07-30 FSR/3","train"
"2025-06-04 original annotations","Karlan Forrester - Soybean Attractiveness/A11/4/210721_0949","Karlan Forrester - Soybean Attractiveness/A11/4","train"
"2025-06-04 original annotations","Karlan Forrester - Soybean Attractiveness/A11/4/210723_1131","Karlan Forrester - Soybean Attractiveness/A11/4","train"
"2025-06-04 original annotations","Karlan Forrester - Soybean Attractiveness/A11/4/210726_1007","Karlan Forrester - Soybean Attractiveness/A11/4","train"
"2025-06-04 original annotations","Karlan Forrester - Soybean Attractiveness/A11/4/210728_1150","Karlan Forrester - Soybean Attractiveness/A11/4","train"
"2025-06-04 original annotations","Karlan Forrester - Soybean Attractiveness/A11/4/210805_0819","Karlan Forrester - Soybean Attractiveness/A11/4","train"
"2025-06-04 original annotations","Karlan Forrester - Soybean Attractiveness/A11/4/210807_1001","Karlan Forrester - Soybean Attractiveness/A11/4","train"
"2025-06-04 original annotations","Karlan Forrester - Soybean Attractiveness/C9-16/4/210721_0910","Karlan Forrester - Soybean Attractiveness/C9-16/4","train"
"2025-06-04 original annotations","Karlan Forrester - Soybean Attractiveness/C9-16/4/210723_1052","Karlan Forrester - Soybean Attractiveness/C9-16/4","train"
"2025-06-04 original annotations","Karlan Forrester - Soybean Attractiveness/C9-16/4/210726_0933","Karlan Forrester - Soybean Attractiveness/C9-16/4","train"
"2025-06-04 original annotations","Karlan Forrester - Soybean Attractiveness/C9-16/4/210728_1115","Karlan Forrester - Soybean Attractiveness/C9-16/4","train"
"2025-06-04 original annotations","Karlan Forrester - Soybean Attractiveness/C9-16/4/210805_0743","Karlan Forrester - Soybean Attractiveness/C9-16/4","train"
"2025-06-04 original annotations","Karlan Forrester - Soybean Attractiveness/C9-16/4/210807_0925","Karlan Forrester - Soybean Attractiveness/C9-16/4","train"
"2025-06-04 original annotations","Karlan Forrester - Soybean Attractiveness/EBN/4/210721_0930","Karlan Forrester - Soybean Attractiveness/EBN/4","train"
"2025-06-04 original annotations","Karlan Forrester - Soybean Attractiveness/EBN/4/210723_1112","Karlan Forrester - Soybean Attractiveness/EBN/4","train"
"2025-06-04 original annotations","Karlan Forrester - Soybean Attractiveness/EBN/4/210726_0950","Karlan Forrester - Soybean Attractiveness/EBN/4","train"
"2025-06-04 original annotations","Karlan Forrester - Soybean Attractiveness/EBN/4/210728_1132","Karlan Forrester - Soybean Attractiveness/EBN/4","train"
"2025-06-04 original annotations","Karlan Forrester - Soybean Attractiveness/EBN/4/210805_0800","Karlan Forrester - Soybean Attractiveness/EBN/4","train"
"2025-06-04 original annotations","Karlan Forrester - Soybean Attractiveness/L6-8/4/210721_0855","Karlan Forrester - Soybean Attractiveness/L6-8/4","train"
"2025-06-04 original annotations","Karlan Forrester - Soybean Attractiveness/L6-8/4/210723_1038","Karlan Forrester - Soybean Attractiveness/L6-8/4","train"
"2025-06-04 original annotations","Karlan Forrester - Soybean Attractiveness/L6-8/4/210726_0918","Karlan Forrester - Soybean Attractiveness/L6-8/4","train"
"2025-06-04 original annotations","Karlan Forrester - Soybean Attractiveness/L6-8/4/210728_1100","Karlan Forrester - Soybean Attractiveness/L6-8/4","train"
"2025-06-04 original annotations","Karlan Forrester - Soybean Attractiveness/L6-8/4/210805_0726","Karlan Forrester - Soybean Attractiveness/L6-8/4","train"
"2025-06-04 original annotations","Karlan Forrester - Soybean Attractiveness/L6-8/4/210807_0908","Karlan Forrester - Soybean Attractiveness/L6-8/4","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s105_ch3","Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000/2023427-16-31_Bombus_terrestris_000000_s118_ch3","Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000002/2023427-16-31_Bombus_terrestris_000002_s185_ch0","Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000002","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000003/2023427-16-31_Bombus_terrestris_000003_s56_ch1","Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000003","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000053/2023427-16-31_Bombus_terrestris_000053_s24_ch2","Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000053","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000009/2023510-16-19_Bombus_terrestris_000009_s92_ch1","Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000009","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000022/2023510-16-19_Bombus_terrestris_000022_s116_ch3","Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000022","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000031/2023510-16-19_Bombus_terrestris_000031_s158_ch3","Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000031","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000032/2023510-16-19_Bombus_terrestris_000032_s88_ch0","Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000032","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000033/2023510-16-19_Bombus_terrestris_000033_s183_ch2","Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000033","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000034/2023510-16-19_Bombus_terrestris_000034_s13_ch0","Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000034","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000034/2023510-16-19_Bombus_terrestris_000034_s85_ch0","Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000034","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000034/2023510-16-19_Bombus_terrestris_000034_s95_ch0","Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000034","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Bombus_terrestris/202359-16-42/000002/202359-16-42_Bombus_terrestris_000002_s154_ch0","Luke - External Data Sources/InsectSound1000/Bombus_terrestris/202359-16-42/000002","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Bombus_terrestris/202359-16-42/000004/202359-16-42_Bombus_terrestris_000004_s220_ch3","Luke - External Data Sources/InsectSound1000/Bombus_terrestris/202359-16-42/000004","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Bombus_terrestris/202359-16-42/000004/202359-16-42_Bombus_terrestris_000004_s222_ch3","Luke - External Data Sources/InsectSound1000/Bombus_terrestris/202359-16-42/000004","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Bombus_terrestris/202359-16-42/000021/202359-16-42_Bombus_terrestris_000021_s162_ch0","Luke - External Data Sources/InsectSound1000/Bombus_terrestris/202359-16-42/000021","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Bombus_terrestris/202359-16-42/000027/202359-16-42_Bombus_terrestris_000027_s40_ch0","Luke - External Data Sources/InsectSound1000/Bombus_terrestris/202359-16-42/000027","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Bombus_terrestris/202359-16-42/000029/202359-16-42_Bombus_terrestris_000029_s80_ch2","Luke - External Data Sources/InsectSound1000/Bombus_terrestris/202359-16-42/000029","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s1_ch0","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s10_ch0","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s11_ch0","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s12_ch0","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s13_ch0","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s14_ch0","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s15_ch0","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s16_ch0","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s17_ch0","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s18_ch0","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s19_ch0","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s2_ch0","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s20_ch0","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s21_ch0","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000","train"
"2025-06-24 InsectSound1000","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000/2023418-15-24_Coccinella_septempunctata_000000_s22_ch0","Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000","train"
