"fold","volume"
"Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1",1111
"Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/2",356
"Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/3",428
"Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/4",1059
"Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/5",312
"Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/6",629
"Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/7",781
"Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/8",270
"Chia - OSPT/2022/2022-07-26/10",251
"Chia - OSPT/2022/2022-07-26/14",245
"Chia - OSPT/2022/2022-07-26/15",235
"Chia - OSPT/2022/2022-07-26/17",196
"Chia - OSPT/2022/2022-07-26/18",280
"Chia - OSPT/2022/2022-07-26/23",278
"Chia - OSPT/2022/2022-07-26/25",409
"Chia - OSPT/2022/2022-07-26/29",449
"Chia - OSPT/2022/2022-08-02/11",518
"Chia - OSPT/2022/2022-08-02/13",428
"Chia - OSPT/2022/2022-08-02/20",90
"Chia - OSPT/2022/2022-08-02/22",377
"Chia - OSPT/2022/2022-08-02/23",46
"Chia - OSPT/2022/2022-08-02/29",170
"Chia - OSPT/2022/2022-08-02/32",253
"Chia_Lin - Soybean on-farm spray audios/2023-07-25 Combs Sabine-Bigelow/14",1982
"Chia_Lin - Soybean on-farm spray audios/2023-07-25 Combs Sabine-Bigelow/23",1524
"Chia_Lin - Soybean on-farm spray audios/2023-07-30 FSR/29",1158
"Chia_Lin - Soybean on-farm spray audios/2023-07-30 FSR/3",802
"JamesU - MustardBumbler/1_29",9782
"Karlan Forrester - Soybean Attractiveness/A11/4",1982
"Karlan Forrester - Soybean Attractiveness/C9-16/4",3751
"Karlan Forrester - Soybean Attractiveness/EBN/4",3018
"Karlan Forrester - Soybean Attractiveness/L6-8/4",1096
"Lily - Fit+Fast/2023_R3_Marysville/53",5286
"Lily Adam - One Hive/recorders/willard/2024-08-07/1_11",4663
"Lily Adam - One Hive/recorders/wooster/2024-07-26/1_143",4616
"Luke - Diel Drivers/2026-04-08/1_150",4910
"Luke - Diel Drivers/2026-05-06/1_95",6896
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000000",6
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000002",0
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000003",1
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023427-16-31/000053",2
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000009",3
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000022",3
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000031",3
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000032",2
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000033",3
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/2023510-16-19/000034",6
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/202359-16-42/000002",3
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/202359-16-42/000004",6
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/202359-16-42/000021",3
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/202359-16-42/000027",2
"Luke - External Data Sources/InsectSound1000/Bombus_terrestris/202359-16-42/000029",2
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000000",100
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023418-15-24/000008",2
"Luke - External Data Sources/InsectSound1000/Coccinella_septempunctata/2023419-16-19/000000",2
