"source","ident","start","end","label","duration","item"
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",103260,103560.004,"ins_trill",300.004000000001,1
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",103274.3931,103275.1315,"ins_buzz_medium",0.738400000002002,2
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",103285.0665,103285.5805,"ins_buzz_medium",0.513999999995576,3
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",103288.2909,103289.2816,"ins_buzz_medium",0.990699999994831,4
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",103298.2259,103299.1325,"ins_buzz_medium",0.906600000002072,5
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",103334.2649,103334.7509,"ins_buzz_medium",0.486000000004424,6
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",103349.9104,103350.7796,"ins_buzz_medium",0.869200000001001,7
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",103352.5087,103354.2284,"ins_buzz_medium",1.71970000000147,8
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",103355.3966,103357.1911,"ins_buzz_medium",1.79450000000361,9
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",103358.2659,103359.4716,"ins_buzz_medium",1.20570000000589,10
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",103360.088,103360.593,"ins_buzz_medium",0.504999999990105,11
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",103361.191,103361.621,"ins_buzz_medium",0.429999999993015,12
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",103391.566,103395.847,"ins_buzz_medium",4.28099999998813,13
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",103395.847,103399.249,"ins_buzz_medium",3.40200000000186,14
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",103399.249,103400.38,"ins_buzz_medium",1.1310000000085,15
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",103412.212,103416.867,"ins_buzz_medium",4.65499999999884,16
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",103449.803,103450.513,"ins_buzz_medium",0.710000000006403,17
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",103465.093,103481.315,"mech_auto",16.2220000000088,18
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",103485.433,103486.8,"ins_buzz_high",1.36699999999837,19
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",103509.613,103510.307,"ins_buzz_medium",0.694000000003143,20
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",103518.991,103520.061,"ins_buzz_medium",1.07000000000698,21
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",103535.38,103536.616,"ins_buzz_medium",1.23599999998987,22
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",106860,107160.03,"ins_trill",300.029999999999,23
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",106889.0106,106990.059,"mech_plane_prop",101.0484,24
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",107049.396,107050.254,"ins_buzz_medium",0.858000000007451,25
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",107075.648,107078.081,"ins_buzz_high",2.43300000000454,26
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",107079.451,107082.295,"ins_buzz_high",2.84399999999732,27
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",107135.197,107136.386,"ins_buzz_medium",1.18899999999849,28
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",107139.003,107140.517,"ins_buzz_medium",1.51400000001013,29
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",107143.059,107143.931,"ins_buzz_medium",0.872000000003027,30
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",107144.174,107144.561,"ins_buzz_medium",0.387000000002445,31
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",107156.408,107157.111,"ins_buzz_high",0.703000000008615,32
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",110460,110760.004,"ins_trill",300.004000000001,33
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",110743.537,110755.016,"mech_auto_car",11.4790000000066,34
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",114060,114360,"ins_trill",300,35
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",114060.555,114069.3158,"ambient_music",8.76080000000366,36
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",114070.3729,114070.6391,"ambient_music",0.266199999998207,37
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",114072.3575,114072.6232,"ambient_music",0.265700000003562,38
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",114076.6536,114077.8238,"ambient_music",1.1701999999932,39
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",114080.8714,114088.9928,"ambient_music",8.12140000000363,40
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",114092.5382,114094.0924,"ambient_music",1.55419999999867,41
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",114106.8921,114119.3679,"mech_auto_car",12.4758000000002,42
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",114124.5391,114128.5148,"mech_auto_car",3.97570000000997,43
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",114191.009,114243.1717,"ambient_music",52.1627000000008,44
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",114259.9284,114314.2528,"ambient_music",54.3243999999977,45
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",114327.9526,114335.2894,"mech_auto_car",7.33679999999003,46
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",117660,117960,"ins_trill",300,47
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",117660,117660.6086,"animal_dog",0.608600000006845,48
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",117661.7384,117662.9072,"animal_dog",1.16879999999946,49
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",117663.915,117664.5772,"animal_dog",0.662200000006123,50
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",117674.0466,117674.2267,"animal_dog",0.180099999997765,51
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",117674.6503,117674.8256,"animal_dog",0.175300000002608,52
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",117676.0434,117676.1805,"animal_dog",0.137100000007194,53
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",117676.4236,117676.542,"animal_dog",0.118400000006659,54
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",117677.0598,117677.2374,"animal_dog",0.177599999995437,55
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",117680.9622,117681.3922,"animal_dog",0.430000000007567,56
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",117683.4911,117683.9118,"animal_dog",0.420700000002398,57
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",117685.4946,117686.473,"animal_dog",0.978399999992689,58
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",117687.6337,117687.8238,"animal_dog",0.190099999992526,59
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",117689.9192,117691.2591,"animal_dog",1.33989999999176,60
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",117692.2963,117692.8416,"animal_dog",0.545299999997951,61
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",117693.6331,117693.7951,"animal_dog",0.161999999996624,62
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",117694.7654,117695.0178,"animal_dog",0.252399999997579,63
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",117696.8151,117697.8231,"animal_dog",1.00799999998708,64
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",117698.7169,117698.8881,"animal_dog",0.171199999997043,65
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",117700.0577,117701.4081,"animal_dog",1.35039999999572,66
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",117704.1667,117705.7977,"animal_dog",1.63099999999395,67
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",117707.2036,117707.3679,"animal_dog",0.164300000004005,68
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",117707.7148,117707.8609,"animal_dog",0.146099999998114,69
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",117713.9247,117715.9507,"animal_dog",2.02599999999802,70
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",117717.9194,117719.5167,"animal_dog",1.59729999999399,71
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",117723.0826,117723.677,"animal_dog",0.59440000000177,72
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",117725.2018,117728.2477,"animal_dog",3.0459000000119,73
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",117730.5693,117730.7365,"animal_dog",0.167199999996228,74
"Even Sample","JamesU - MustardBumbler/1_29/240903_1319",117731.2194,117731.4237,"animal_dog",0.204299999997602,75
