"label","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/1","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/2","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/3","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/4","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/5","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/6","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/7","Chia - Bee Audio 2022 Original/7-13-22_SouthCharleston/8","Chia - OSPT/2022/2022-07-26/10","Chia - OSPT/2022/2022-07-26/14","Chia - OSPT/2022/2022-07-26/15","Chia - OSPT/2022/2022-07-26/17","Chia - OSPT/2022/2022-07-26/18","Chia - OSPT/2022/2022-07-26/23","Chia - OSPT/2022/2022-07-26/25","Chia - OSPT/2022/2022-07-26/29","Chia - OSPT/2022/2022-08-02/11","Chia - OSPT/2022/2022-08-02/13","Chia - OSPT/2022/2022-08-02/20","Chia - OSPT/2022/2022-08-02/22","Chia - OSPT/2022/2022-08-02/23","Chia - OSPT/2022/2022-08-02/29","Chia - OSPT/2022/2022-08-02/32","Chia_Lin - Soybean on-farm spray audios/2023-07-25 Combs Sabine-Bigelow/14","Chia_Lin - Soybean on-farm spray audios/2023-07-25 Combs Sabine-Bigelow/23","Chia_Lin - Soybean on-farm spray audios/2023-07-30 FSR/29","Chia_Lin - Soybean on-farm spray audios/2023-07-30 FSR/3","JamesU - MustardBumbler/1_29","Karlan Forrester - Soybean Attractiveness/A11/4","Karlan Forrester - Soybean Attractiveness/C9-16/4","Karlan Forrester - Soybean Attractiveness/EBN/4","Karlan Forrester - Soybean Attractiveness/L6-8/4","Lily - Fit+Fast/2023_R3_Marysville/53","Lily Adam - One Hive/recorders/willard/2024-08-07/1_11","Lily Adam - One Hive/recorders/wooster/2024-07-26/1_143","Luke - Diel Drivers/2026-04-08/1_150","Luke - Diel Drivers/2026-05-06/1_95","Luke - Various Opportunistic Recordings/2025-06-23/1_23","Luke - Various Opportunistic Recordings/2025-07-03/1_37","Luke - Various Opportunistic Recordings/2025-08-05/31","Luke - Various Opportunistic Recordings/2025-08-12/1_114","Luke - Various Opportunistic Recordings/2025-08-27/48","Luke - Various Opportunistic Recordings/2026-07-27/1_25"
"ambient_background",263,234,201,252,201,246,261,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,234,0,125,257,409,758,762,683,1411,3111,2700,709,2350,326,3742,297,0,155,0
"ambient_music",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126,0,159,0,0,0,81,0,0,205,0,0,0,0,0,0
"ambient_noise",423,3,0,49,0,57,0,0,11,0,0,0,0,8,0,0,44,0,0,14,3,0,0,90,62,322,4,99,136,40,119,0,13,125,21,157,411,15,6,15,651,11,0
"ambient_rain",20,15,12,9,12,12,9,9,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,300,25,25,0,0,0,316,0,900,0,0,0,0,0,0,0,642,0,300
"ambient_ringing",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0
"ambient_thunder",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,349,0,0,0,0,0,0,0,62,0,156
"animal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,118,0,0,46,0,141,3,21,0,1,0,737,45,0,0,0,23,0,0
"human",45,6,0,322,5,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,11,19,13,1,9,0,5,295,19,0,0,0,1,0
"ins_buzz_RECLASSIFY",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"ins_buzz_high",12,5,23,28,5,3,3,5,0,0,0,2,4,1,3,0,18,0,0,0,5,0,0,3,0,0,0,8,16,38,13,2,0,55,8,0,1,0,0,12,35,0,0
"ins_buzz_high_loud",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ins_buzz_high_quiet",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,3,0,0,0,3,0,0,0,0
