from,to
ambient_background,nonbuzz
ambient_bang,nonbuzz
ambient_hum_traffic,nonbuzz
ambient_music,nonbuzz
ambient_noise,nonbuzz
ambient_rain,nonbuzz
ambient_rustle,nonbuzz
ambient_scrape,nonbuzz
ambient_scraping,nonbuzz
ambient_squeak,nonbuzz
ambient_thunder,nonbuzz
animal_bird_goose,nonbuzz
animal_dog,nonbuzz
animal_frog_pickerel,nonbuzz
animal_frog_tree,nonbuzz
human,nonbuzz
ins_buzz,ins_buzz
ins_buzz_Bombus,ins_buzz
ins_buzz_Coccinella,ins_buzz
ins_buzz_Coccinella_strange,ins_buzz
ins_buzz_Episyrphus,ins_buzz
ins_buzz_Halyomorpha,ins_buzz
ins_buzz_Nezara,ins_buzz
ins_buzz_Nezara_strange,ins_buzz
ins_buzz_RECLASSIFY,ins_buzz
ins_buzz_bee,ins_buzz
ins_buzz_high,ins_buzz
ins_buzz_low,ins_buzz
ins_buzz_strange,ins_buzz
ins_cicada,nonbuzz
ins_trill,nonbuzz
mech_auto,nonbuzz
mech_auto_bike,nonbuzz
mech_auto_car,nonbuzz
mech_auto_hum,nonbuzz
mech_auto_truck,nonbuzz
mech_combine,nonbuzz
mech_drone,nonbuzz
mech_hum_RECLASSIFY,nonbuzz
mech_hum_auto,nonbuzz
mech_hum_chainsaw,nonbuzz
mech_hum_lawnmower,nonbuzz
mech_hum_traffic,nonbuzz
mech_plane_helicopter,nonbuzz
mech_plane_jet,nonbuzz
mech_plane_prop,nonbuzz
mech_siren,nonbuzz
mech_train,nonbuzz
static,nonbuzz
