"from","to"
"EXCLUDE","EXCLUDE"
"ambient_background",""
"ambient_bang",""
"ambient_hum_traffic",""
"ambient_music",""
"ambient_music_windchime",""
"ambient_noise",""
"ambient_rain",""
"ambient_ringing",""
"ambient_rustle",""
"ambient_scrape",""
"ambient_scraping",""
"ambient_squeak",""
"ambient_thunder",""
"ambient_wind",""
"animal_bird_crow",""
"animal_bird_goose",""
"animal_cow",""
"animal_dog",""
"animal_frog",""
"animal_frog_pickerel",""
"animal_frog_tree",""
"animal_squirrel",""
"human",""
"ins_buzz",""
"ins_buzz_Bombus",""
"ins_buzz_Episyrphus",""
"ins_buzz_Halyomorpha",""
"ins_buzz_Nezara",""
"ins_buzz_RECLASSIFY",""
"ins_buzz_high",""
"ins_buzz_low",""
"ins_buzz_medium",""
"ins_buzz_pollination",""
"ins_buzz_rasp",""
"ins_trill",""
"mech_ac",""
"mech_auto",""
"mech_auto_RECLASSIFY",""
"mech_auto_car",""
"mech_auto_hum",""
"mech_auto_motorcycle",""
"mech_auto_truck",""
"mech_beep",""
"mech_chainsaw",""
"mech_combine",""
"mech_drone",""
"mech_hum_RECLASSIFY",""
"mech_hum_chainsaw",""
"mech_hum_traffic",""
"mech_lawnmower",""
"mech_plane_helicopter",""
"mech_plane_jet",""
"mech_plane_prop",""
"mech_siren",""
"mech_train",""
"mech_weedwhacker",""
"static",""
"unknown",""
