"from","to"
"ambient_background","ambient_background"
"ambient_bang","ambient_noise"
"ambient_hum_traffic","mech_hum"
"ambient_music","ambient_background"
"ambient_noise","ambient_noise"
"ambient_rain","ambient_rain"
"ambient_rustle","ambient_noise"
"ambient_scrape","ambient_noise"
"ambient_scraping","ambient_noise"
"ambient_squeak","ambient_noise"
"ambient_thunder","ambient_rain"
"animal","animal"
"animal_bird_goose","animal"
"animal_dog","animal"
"animal_frog_pickerel","animal"
"animal_frog_tree","animal"
"human","human"
"ins_buzz","ins_buzz"
"ins_buzz_Bombus","ins_buzz"
"ins_buzz_Coccinella","ins_buzz"
"ins_buzz_Coccinella_strange","ins_buzz"
"ins_buzz_Episyrphus","ins_buzz"
"ins_buzz_Halyomorpha","ins_buzz"
"ins_buzz_Nezara","ins_buzz"
"ins_buzz_Nezara_strange","ins_buzz"
"ins_buzz_RECLASSIFY","ins_buzz"
"ins_buzz_bee","ins_buzz"
"ins_buzz_high","ins_buzz"
"ins_buzz_low","ins_buzz"
"ins_buzz_strange","ins_buzz"
"ins_cicada","ins_trill"
"ins_trill","ins_trill"
"mech_auto","mech_auto"
"mech_auto_bike","mech_auto"
"mech_auto_car","mech_auto"
"mech_auto_hum","mech_auto"
"mech_auto_truck","mech_auto"
"mech_combine","mech_auto"
"mech_drone","ignore"
"mech_hum","mech_hum"
"mech_hum_RECLASSIFY","mech_hum"
"mech_hum_auto","mech_hum"
"mech_hum_chainsaw","mech_hum"
"mech_hum_lawnmower","mech_hum"
"mech_hum_traffic","mech_hum"
"mech_plane","mech_plane"
"mech_plane_helicopter","mech_plane"
"mech_plane_jet","mech_plane"
"mech_plane_prop","mech_plane"
"mech_siren","mech_auto"
"mech_train","mech_auto"
"static","static"
